"","ID","Score","MG_Mean","TV_Mean","SE_Mean"
"191","4704",116,4.5,4.5,5
"192","4708",115,5,5,5
"193","4697",92,3.5,4.5,4.5
"194","?",103,3.5,4,5
"195","4725",117,4.5,5,5
"196","4717",107,4,3.5,5
"197","4722",117,5,5,5
"198","4727",116,4.5,5,5
"199","4720",113,5,4.5,5
"200","4730",102,5,3.5,5
"201","4716",107,4,4.5,5
"202","4606",111,4,4.5,5
"203","4723",114,4.5,4,5
"204","4371",111,4.5,4.5,4.5
"205","4734",104,3.5,4,4.5
"206","4762",90,2.5,3.5,4.5
"207","4765",113,5,5,5
"208","4761",114,4.5,3.5,5
"209","4755B",88,3,4,3.5
"210","4756B",104,4.5,4,4
"211","4739B",95,3,3.5,5
"212","5762",115,5,5,5
"213","4757",107,4.5,3.5,5
"214","4764",108,4,3.5,5
"215","4758",109,5,4.5,5
"216","4607",111,4.5,4,5
"217","4609",110,4,5,5
"218","4578",104,5,4,5
"219","4599",99,3.5,4,4.5
"220","4602",111,4,4,5
"221","4592",113,3.5,5,5
"222","4608",99,4,3.5,4.5
"223","4584",97,3.5,3.5,4.5
"224","4589",105,4,3.5,5
"225","4617",93,3.5,3.5,4.5
"226","4626",106,4.5,3.5,5
"227","4619",103,4.5,4,5
"228","4585",117,5,5,5
"229","4598",91,4,3,4.5
"230","4616",95,3.5,4,4
"231","4597",111,4,5,5
"232","4586",107,4,4,5
"233","4593",98,4.5,3.5,4.5
"234","4596",118,4.5,4.5,5
"235","4621",117,5,4.5,4.5
"236","4615",91,3,4.5,3
"237","4627",105,3.5,4.5,5
"238","4610",93,3.5,4,4.5
"239","4753",105,4,5,5
"240","4743",101,4,4.5,5
"241","4272",94,3.5,4,4
"242","4760F",113,4.5,4.5,5
"243","4740",87,3.5,3.5,4
"244","4746",120,5,5,5
"245","4750",67,4.5,1.5,3
"246","4755",100,4,4,4
"247","4754",90,3,3.5,4
"248","4737",84,4,2.5,3.5
"249","4748",97,4,4.5,4.5
"250","4756",105,4,4,4
"251","4739",87,3,3.5,3.5
"252","4752",104,4.5,4,5
"253","4224",112,4,5,4.5
"254","4232",96,3.5,4,4
"255","4230",107,5,4.5,4.5
"256","4236",98,4,4,4.5
"257","4229",114,4.5,4.5,5
"258","4219",114,4.5,5,5
"259","4235",108,4,5,4
"260","4773",115,4,4.5,5
"261","4760",91,3,3.5,3.5
"262","4767",92,3.5,3.5,4
"263","4777",97,4,4,4.5
"264","4775",114,4,5,5
"265","4768",105,4,4,5
"266","4778",119,5,5,5
"267","4763",94,3.5,4.5,4.5
"268","4770",97,3.5,3.5,5
"269","4765F",110,4,4.5,5
"270","4771",94,3.5,4,4
"271","4419",112,5,4,5
"272","4668",99,4,4,4
"273","4295",75,2,1.5,4
"274","4686",115,5,4.5,5
"275","4656",92,3,3,5
"276","4822",113,4,4.5,5
"277","4819",107,4,5,5
"278","4815",120,5,5,5
"279","4821",117,5,5,5
"280","4825",94,4,4.5,4
"281","4816",118,5,5,5
"282","4817",120,5,5,5
"283","4824",103,4.5,3,4
"284","4781",89,3.5,3,4
"285","4782",94,3.5,4,4.5
"286","4783",87,3.5,4,4
"287","4789",103,4,4.5,5
"288","4786",100,4,3.5,5
"289","4779",101,4,4,5
"290","4787",86,3,3,4.5
"291","4785",107,3,5,5
"292","4784",75,2,3.5,4
"293","4780",101,4,4.5,5
"294","8291",36,2,1,1.5
"295","2919",28,1,1,1
"296","4801",109,4,4,5
"297","4802",87,3.5,3,3.5
"298","4814",91,3.5,3.5,4
"299","4408",87,4,3,4
"300","4803",80,3,3,4
"301","4807",100,3,5,4
"302","4813",95,3,3.5,4.5
"303","4806",95,3.5,4,4
"304","4795",94,3.5,4,4.5
"305","4799",98,4,4,4.5
"306","4805",88,3,4,4
"307","4828",83,4,3,4
"308","4833",93,3,4.5,5
"309","4836",104,5,4,4.5
"310","4829",85,2.5,3.5,4
"311","4830",98,3.5,5,4.5
"312","4826",116,4,5,5
"313","4838",76,3,4,2
