"","ID","Gender","SelfEfficacy","TaskValue","MasteryGoals"
"1","2919","Female",-3.11064187193453,-3.1978502489027,-3.8618936211396
"2","4022","Male",-0.353467672843448,0.620358802391776,0.1909691673275
"3","4219","Male",0.705183397617836,0.511740074881835,0.617896869545346
"4","4224","Female",0.431501198788176,0.615069911482918,0.474483717205382
"5","4229","Female",0.629359149720563,0.538355090673281,0.597444307741509
"6","4230","Female",0.547395981072754,0.083674630904207,0.240600111216997
"7","4232","Male",-0.212236319083661,-0.0746593291557178,-0.359920857444101
"8","4235","Male",0.134877781922454,0.516895693687211,0.147903666911964
"9","4236","Male",-0.144553265721216,-0.152762411531675,-0.150229855213664
"10","4240","Male",-0.990646580138549,-2.03150131524868,-1.60799025790245
"11","4241","Male",0.821379323011607,0.841730501543722,0.783554989651546
"12","4242","Male",-3.27671766137019,-3.40531775359322,-3.94155436049809
"13","4243","Female",-0.5337580110779,-0.418151117664771,-0.50079010642212
"14","4244","Male",-0.802384178470672,-0.115380502416336,-0.387880416838631
"15","4245","Female",0.159300655185741,-0.0936132833231451,0.0363384488896007
"16","4246","Male",-0.266708192470349,-0.804114192101612,-0.771368468333191
"17","4247","Male",0.719150748481233,0.171524483728148,0.514444836643339
"18","4248","Female",0.533033723089335,0.917224624843589,0.745394097332851
"19","4249","Female",0.225007767869864,0.393411839776136,0.0618156297078863
"20","4250","Male",0.581083105306981,0.0198939195743698,0.468531581592411
"21","4251","Female",-0.345473550035089,-0.359590238408879,-0.227233469973771
"22","4254","Female",0.0871344874407023,0.388944812014872,0.444344852174264
"23","4257","Female",0.66589527248772,-0.474953528540764,-0.107377614737312
"24","4258","Male",0.350675868916465,0.594745805872478,0.400056799170883
"25","4259","Female",0.537035048550759,0.888311289484501,0.666245845693727
"26","4260","Male",0.681903628070012,0.549234096073803,0.532775355736699
"27","4261","Female",0.245721579025706,-0.243892042784011,0.0854243034007865
"28","4262","Female",0.331437971911155,0.240903390879647,0.471716963199276
"29","4264","Male",0.00131891636670545,-0.157259146517549,0.15411150557318
"30","4267","Female",0.0943684124561629,0.757180719980982,0.624153781400372
"31","4268","Female",-0.358501620705243,0.438975783912817,0.233675506916353
"32","4269","Female",0.170841945999874,-0.453875611696917,-0.249028080106945
"33","4271","Male",-0.577899607605852,0.372680813974848,0.265455697230503
"34","4272","Male",-0.309676927269103,-0.189175772050066,-0.478578145030217
"35","4273","Male",0.328827951155605,0.525315412673845,0.548559705554866
"36","4274","Male",0.0386094822354281,0.33411695909806,0.260991777878211
"37","4275","Male",0.448521752401142,0.675332707172848,0.673523787311183
"38","4276","Male",-0.0238118954978027,0.629919543416998,0.492291256853944
"39","4277","Male",0.011692847360498,-0.61671171521011,-0.265462707412123
"40","4278","Male",-1.21946002281466,-0.817368017913214,-1.11540667964076
"41","4279","Male",-0.137867826350445,-0.381173211188306,-0.342335381965397
"42","4281","Male",-0.306761071555362,-0.232652100735597,-0.420571831981534
"43","4282","Male",0.021434810723472,-0.7164582661114,-0.39531800192414
"44","4283","Female",-0.271279585018928,-0.0236728530215036,-0.0149616581360762
"45","4284","Female",-0.31159941203045,-0.562982978701708,-0.819035894492445
"46","4285","Female",0.282561096923476,0.108588150291482,0.16928504109705
"47","4286","Female",-0.588192667190005,-0.704818697407917,-0.65072150298624
"48","4287","Female",0.64948365591519,0.753955285284243,0.730285481172878
"49","4288","Male",0.359365645564096,0.442753533791905,0.286935296681158
"50","4289","Female",-0.279841912050896,-0.334303329550802,-0.837677830454014
"51","4290","Male",0.383785099265422,-0.226263374452956,-0.118927197513674
"52","4291","Male",-0.220162679238478,-1.34339118976871,-0.954790531924485
"53","4293","Male",-0.278826520841121,-0.218459108119027,-0.250985004653815
"54","4294","Male",-0.458664485436522,0.052401771808701,-0.182720513329379
"55","4295","Female",-1.43178685308123,-1.12670922320583,-1.15818500302422
"56","4297","Male",-0.288077603466716,-0.0119083513427563,-0.188677711589201
"57","4299","Male",0.511469223842545,0.430789987018794,0.470164901085844
"58","4300","Female",-0.43728900068437,0.433227162467064,0.379896897060675
"59","4301","Female",0.211229951292853,0.562520955689356,0.601909208678304
"60","4302","Female",0.0945973909933425,0.184382951589968,0.256432153863543
"61","4304","Male",0.485527222719163,0.199532840881363,0.153282007045564
"62","4305","Female",-0.774058948767985,-0.943235858387914,-1.10173332419192
"63","4306","Male",-0.199396844011534,-0.368890029459533,-0.300773741761812
"64","4309","Male",0.676188491575482,0.918366941159715,0.773217409564829
"65","4310","Female",0.278672774216023,0.404010136504521,0.332505714234241
"66","4313","Female",-0.972422504928741,-0.34980230613538,-0.81759585965737
"67","4314","Male",-0.280318926332065,-0.618356981416351,-0.0577294204902376
"68","4315","Male",0.629111417317082,0.252366869870161,0.537617982152061
"69","4316","Female",-0.774689237056502,-0.510685229537949,-1.0514615200026
"70","4318","Female",-0.689374677565409,0.157502484837672,-0.290082308537787
"71","4319","Female",0.0232484369726562,0.0964743139599652,0.202289362066279
"72","4321","Female",-0.399827917997763,-0.098782880699067,-0.263596347601929
"73","4322","Female",-0.11354845737382,0.767906665725477,0.418595941172994
