"","...1","ID","Gender","Certificate","Age","Age_squared","Age.cubed","PostScore","PreScore","SS_ACC","FM_ACC","CB_ACC..2.","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg.SALES","Avg_PG","Avg_RTc","Avg_EFF","Avg_ACC","FM_RTc_mean","CB_RTc_mean","FMresid","FM_stdres","FMresid3","CB_stdres","CBresid","SS_stdres","PostScore_stdres","MG_S_stdres","SE_S_stdres","TV_stdres","MG_P_stdres","SE_P_stdres","PAV_stdres","PAp_stdres","PreScore_stdres","SS_stdres2"
"1",1,4279,"Male","IGCSE (British)",13.46,181.1716,2438.569736,14.5,13,84.26,94.53,71.88,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.7,0.51,-0.25,-0.45,0.39,1.29,144.76,0.84,1.59,8.45,-0.605920712474081,-0.648346152327572,-0.605920712474081,0.597574350555281,-0.605920712474081,-0.689930378435559,1.067478196494,-0.641848301720369,-0.309509169901778,-0.637396673420888,1.26637690313008,0.827231546429946,0.61766333420261,0.276567095094351,1.13676683551192,-0.684223362545276
"2",2,4764,"Male","American Diploma",13.95,194.6025,2714.704875,14,15,75,95.31,66.67,-0.17,1.66,1.74,-0.15,-0.16,0.71,0.76,1.59,0.99,0.37,0.99,0.44,1.7,0.55,209.48,0.75,0.89,8.14,1.36561397280678,1.46363115633727,1.36561397280678,0.354921259772578,1.36561397280678,0.936256894987025,0.761086437677269,1.02548925813698,-0.218145686138989,0.981337066314577,-0.235839462169429,-0.293861066532545,2.22945196083261,2.34667323874147,1.49598433665318,0.939787531613121
"3",3,4898,"Female","IGCSE (British)",14.82,219.6324,3254.952168,14,12,93.98,95.7,67.74,0.78,0.64,0.28,-0.22,0.91,0.01,-0.22,0.7,0.14,-0.13,0.23,0.23,0.46,0.93,104.64,0.94,1.09,9.61,0.357194052362911,0.382903659083006,0.357194052362911,-0.347015953369801,0.357194052362911,-0.0213249380690107,0.462372935465938,-0.243535372346477,1.35645374325214,0.0887514779384024,-0.228232198897426,1.23101514704844,1.00341024302601,0.58056602525311,0.34280959589051,-0.0304216893669571
"4",4,4261,"Female","IGCSE (British)",13.09,171.3481,2242.946629,15,15,85.19,89.06,65.63,0.18,-0.12,0.33,0.21,0.02,-0.44,-0.24,1.11,1.68,0.57,1.12,-0.22,0.1,0.51,224.74,0.85,0.92,7.6,1.2454678106927,1.33205762313692,1.2454678106927,0.731294006286197,1.2454678106927,1.73295673422881,1.33316704317431,-0.225716094470098,0.0386281008515022,-0.484453144708701,0.232217759764911,0.171044139564374,-0.324480199535816,0.294801363148121,1.82601956456481,1.74184110382663
"5",5,4364,"Female","IGCSE (British)",15.12,228.6144,3456.649728,14,15,88.89,96.09,68.75,-0.08,-0.21,-0.49,-0.41,-0.37,-0.6,-0.93,-0.74,0.45,-1.65,-0.65,-0.63,-0.35,0.78,142.63,0.89,1.73,18.97,-1.02873892409339,-1.10531810643359,-1.02873892409339,-2.00015292166407,-1.02873892409339,0.2517359946497,0.359248468490333,-1.15814366404899,-0.518408739516748,-0.691873495701674,-0.498297607495538,-0.0616176128590227,-0.0963144914712698,-0.386657932425298,1.05121705028212,0.237107170955667
"6",6,4752,"Male","Other?",11.66,135.9556,1585.242296,2,15,84.92,100,68.97,-0.94,0.62,0.71,0.04,-0.24,0.25,0.21,0.01,0.13,-1.97,-0.61,0.08,0.66,0.84,164.05,0.85,1.39,23.7,0.731853133916767,0.791593315059851,0.731853133916767,-1.66329342933949,0.731853133916767,0.365792397346451,-1.76668289889274,0.384394799662276,-0.354401856449257,0.398161502013122,-0.249299018507691,-1.66560235047699,0.431444716916011,0.513537750893254,2.38787666466553,0.365050018940963
"7",7,4781,"Male","IB",15.13,228.9169,3463.512697,14,15,91.67,97.66,64.52,-0.06,-1.07,-1.21,-0.64,-0.21,-0.98,-0.67,-1.34,-0.75,1.14,-0.32,-0.62,-1.14,1.46,78.71,0.92,2.31,6.5,-1.62590538650582,-1.74723686719531,-1.62590538650582,0.911326748986856,-1.62590538650582,-0.952392259114402,0.355807842492878,-0.826355425535008,-0.283468752102535,-1.17822578876636,-0.874891712999515,-0.0301343807672837,-1.26128535437461,-1.34699987606922,1.04742168928987,-0.968537164609391
"8",8,4878,"Female","IGCSE (British)",15.03,225.9009,3395.290527,14,15,93.52,94.53,65.52,0.49,0.02,-0.39,0.75,0.82,0.84,1.06,0.47,-0.08,0.8,0.4,0.91,-0.18,1.02,80.64,0.94,1.15,7.16,0.158853136393106,0.170473821857412,0.158853136393106,0.577811325194417,0.158853136393106,-0.268098377863255,0.390203887303071,1.38514173079724,1.22726942407335,1.15041585196514,1.39458275905467,0.804777127306847,0.20002104581094,-0.271210220821544,1.08537387946635,-0.281429149767068
"9",9,4884,"Female","IGCSE (British)",15.05,226.5025,3408.862625,15,15,80.56,94.53,60.87,-0.72,0.67,0.98,0.42,0.17,1.02,0.95,-0.32,0.19,1.91,0.59,0.71,0.83,0.78,151.05,0.81,1.46,5.22,-0.626642681039733,-0.672629994504051,-0.626642681039733,1.73221940339119,-0.626642681039733,-9.35048006976479e-05,0.659841525984266,1.24433704908653,0.273682479657088,1.38078479814698,0.855445849136136,-1.04838779548329,1.08494984651256,1.56324540833356,1.07778362373101,-0.0135552956761135
"10",10,4917,"Male","IGCSE (British)",15.07,227.1049,3422.470843,12,15,100,96.88,65.63,0.14,-0.43,-0.64,0.2,-0.39,0.11,-0.35,0.31,-0.91,0.57,-0.01,-0.21,-0.54,1.78,48.15,1,1.23,7.6,0.00813102355576006,0.00872986008612647,0.00813102355576006,0.329079658862581,0.00813102355576006,-1.10491005731156,-0.176637123943029,-0.416006788577205,-0.548006819495869,0.216681488261678,0.496923218840743,0.271607987812233,-0.403309976806789,-0.597169494360406,1.07019330687616,-1.11992699537995
