,ID,Picture,Color,Gender,PostCCScore
170,4461,plane,mint,Male,13
171,4465,bat,mint,Male,7
172,4466,Bear,Mint,Male,12
173,4467,Bicycle,mint,Male,5
174,4468,Youssuf Muhammad Kamal ,Buffalo,Mint,1
175,4475,Chick,Mint,Female,3
176,4476,cobra,mint,Female,8
177,4478,crocodile,mint,Female,5
178,4479,deer,mint,Female,11
179,4482,donkey ,mint,Female,3
180,4485,eagle,mint,Male,11
181,4488,Fox,mint,Male,4
182,4490,giraffe,mint,Male,1
183,4491,goat,mint,Female,6
184,4492,gorilla ,mint ,Female,2
185,4494,Helicopter,Mint,Female,2
186,4495,Hippo,Mint,Female,7
187,4498,koala,Mint ,Female,7
188,4499,Lion,Mint,Female,8
189,4500,lizard,mint,Female,14
190,4501,llama,blue,Female,3
191,4502,mouse,mint,Female,9
192,4503,Octopus ,Mint,Female,8
193,4504,owl,mint,Male,7
194,4505,Pelican ,Mint,Male,6
195,4507,rabbit,mint,Male,16
196,4509,Rocket,mint,Male,8
197,4513,shark ,mint,Female,0
198,4514,sheep,mint,Female,8
199,4515,Ship,Mint,Female,4
200,4517,starfish,mint,Female,13
201,4518,submarine,mint,Female,8
202,4519,Swan,Mint,Female,7
203,4524,whale,mint,Female,10
204,4528, Armadillo ,Pink,Female,6
205,4531,Bear,Pink,Male,8
206,4533,Bicycle,Pink,Male,13
207,4535,Bus,Pink,Female,6
208,4536,Butterfly ,Pink,Male,6
209,4537,camel,pink,Male,7
210,4538,Car,Pink,Male,8
211,4538,eagle,green,Female,7
212,4540,Caterpillar ,Pink,Male,14
213,4543,cow,pink,Male,8
214,4545,Deer,Pink,Male,6
215,4546,Dog,Pink,Male,10
216,4549,dragonfly,pink,Female,10
217,4550, duck,Pink,Female,4
218,4551,Eagle,Pink,Male,8
219,4558,gorilla,pink,Male,5
220,4559,grasshoper,pink,Male,15
221,4562,Insect ,Pink ,Female,5
222,4564,koala,pink,Male,15
223,4566,lizard,pink,Male,9
224,4568,mouse,pink,Male,8
225,4571,Pelican ,Pink ,Female,7
226,4571,pelican,pink,Female,2
227,4574,Rabbit ,Pink,Male,5
228,4578,Seahorse ,Pink ,Female,4
229,4584,Starfish ,Pink,Female,10
230,4585,submarine,pink,Male,7
231,4586,Swan,Pink,Female,8
232,4589,Train,Pink,Female,15
233,4592,Zebra,Pink,Male,13
234,4596,Bat ,Purple ,Male,3
235,4597,Bear,Purpule,Female,1
236,4598,bicycle,purple,Female,12
237,4599,Buffalo ,Purple,Male,10
238,459l,Airplane,Purple,Male,9
239,4602,Camel ,Purple ,Female,9
240,4606,chick,purple,Female,9
241,4607,Cobra,Purple,Female,14
242,4608,Cow,Purple,Female,7
243,4609,Crocodile,Purple,Male,7
244,4610,Deer,Purple ,Female,3
245,4615,Duck,Purple,Male,4
246,4616,Eagle,Purple,Male,7
247,4617,Elephant,Purple,Female,6
248,4619,Fox,Purple,Male,8
249,4621,Giraffe,Purple,Male,7
250,4626,Hippo,Purple,Male,7
251,4627,Insect ,Purple,Female,9
252,4656,zebra,black,Female,6
253,4668,car,lemon,Male,15
254,4686,frog,green,Male,8
255,4693,insect,red,Female,3
256,4697,Lizard,Red,Female,12
257,4702,Pelican,Red,Female,7
258,4704,Pig,red,Female,12
259,4708,sailboat,red,Female,12
260,4710,sealion,red,Female,8
261,4712,sheep,red,Female,13
262,4716,submarine,red,Female,9
263,4717,swan,red,Female,12
264,4720,train,red,Female,15
265,4722,whale,red,Female,9
266,4723,zebra ,red ,Female,15
267,4725,ant,red,Female,12
268,4727,balloon ,light blue ,Female,12
269,4730,Beaver,Light blue,Female,15
270,4734,Butterfly,Light Blue,Female,9
271,4737,cat,sky,Female,5
272,4739,Chick,Light `blue,Male,4
273,4739,chick,blue,Male,10
274,4740,cobra,blue,Male,14
275,4743,crocodile,sky,Female,6
276,4746,Dolphin ,Sky,Male,7
277,4748,Dragonfly,sky,Male,2
278,4750,Eagle,Sky,Male,1
279,4752,flamingo,sky,Male,2
280,4753,fox,sky,Male,10
281,4754,Frog,Sky,Male,4
282,4755,Girrafe,Blue,Male,8
283,4755,Giraffe,Sky,Male,5
284,4756,goat,light blue,Male,15
285,4756,Goat,Sky,Male,5
286,4757,gorilla,light blue,Male,9
287,4758,grasshopper,light blue,Male,12
288,4760,helicopter,sky,Female,6
289,4760,Helicopter,Sky,Male,15
290,4761,Hippo,light blue,Male,14
291,4762,Insect ,Light blue ,Male,6
292,4763,Kangaroo ,Sky,Female,10
293,4764,koala,light blue,Male,14
294,4765,Lion,Light blue,Male,12
295,4765,Lion,Sky,Female,9
296,4767,Llama,Sky,Male,14
297,4768,Mantis,Sky,Male,16
298,4770,Octopus,Sky,Female,8
299,4771,owl,sky,Female,5
300,4773,Penguin,Sky,Male,7
301,4775,rhino ,sky ,Female,8
302,4777,sailboat,sky,Male,15
303,4778,seahorse,sky,Female,7
304,4779,sea-lion ,sky,Male,15
305,4780,shark,sky,Female,15
306,4781,Sheep,Sky,Male,14
307,4782,ship,blue,Female,11
308,4783,Snail,Sky,Male,8
309,4784,Starfish,Sky,Male,13
310,4785,Submarine ,Sky,Male,14
311,4786,swan,sky,Male,14
312,4787,tiger ,sky ,Female,12
313,4789,Train,Sky,Male,16
314,4795,ant,strawberry,Male,15
315,4801,Bicycle ,strawberry ,Female,5
316,4802,Buffalo,Strawberry ,Female,15
317,4803,Bus,Pink,Female,14
318,4805,camel,strawberry,Male,5
319,4806,Car,Stawberry,Male,10
320,4813,crocodile ,strawberry ,Male,13
321,4814,Cow,Strawberry,Female,13
322,4815,dog,strawberry ,Male,5
323,4816,Dolphin,Strawberry,Male,4
324,4817,dragonfly ,strawberry ,Male,6
325,4819,eagle,pink,Male,5
326,4821,Flamingo,Strawberry,Female,6
327,4822,fox,pink / strawberry,Female,7
328,4824,Strawberry,Pink,Male,13
329,4825,Goat,Red,Male,3
330,4826,Gorilla,strawberry,Male,13
331,4828,Helicopter,Strawberry,Male,13
332,4829,Hippo,strawberry ,Female,8
333,4830,insect,strawberry,Male,14
334,4831,Kangroo ,Strawberry ,Female,10
335,4832,koala,strawberry,Female,4
336,4833,Lion,Strabery,Male,4
337,4836,Mantis,Strawberry,Male,16
338,4838,octupos,strawberry,Male,10
339,4839,Owl,Strawberry ,Female,7
340,4841,penguin,strawberry,Female,10
341,4845,sailboat,strawberry ,Female,7
342,4846,Sea horse,Strawberry,Male,15
343,4848,Shark,Strawberry,Female,15
344,4850,ship,strawberry ,Male,6
345,4855,tiger,strawberry,Male,13
346,4860,whale,strawberry,Male,5
347,4861,zebra ,strawberry ,Female,10
348,4862,airplane,blue ,Female,13
349,4863,ant,blue,Female,13
350,"4868	",buffalo ,blue,Female,7
351,4869,school bus,blue,Male,16
352,4870,Butterfly ,Blue,Male,13
353,4871,camel ,blue ,Female,9
354,4874,Caterpillar,Blue,Male,8
355,4878,Crocodile,Blue,Female,14
356,4879,deer,blue,Male,15
357,4880,Dog,Blue,Male,16
358,4884,Elephant,Blue,Female,15
359,4885,fox,blue,Female,16
360,4886,Frog,Blue ,Female,13
361,4887,Giraffe,Blue,Male,12
362,4888,goat,blue,Female,12
363,4896,Lizard,Blue,Female,16
364,4897,Llama,Blue,Male,15
365,4898,Mouse,Blue,Female,14
366,4899,Bear,Strawberry,Male,8
367,4899,Octopus,Blue,Female,16
368,4900,Owl,Blue,Male,16
369,4901,Pelican,Blue,Female,15
370,4902,Penguin,blue,Female,13
371,4903,rabbit ,blue,Female,8
372,4904,Rhino,Blue,Male,16
373,4906,sailboat,blue,Female,13
374,4907,cat,strawberry ,Male,7
375,4907,seahorse,blue,Male,8
376,4908,sealion,Blue,Female,15
377,4909,Shark,Blue,Female,15
378,4910,sheep,blue,Female,11
379,4911,Ship,Blue,Female,16
380,4912,Snail,Blue ,Female,13
381,4913,Starfish,Blue,Male,15
382,4914,stingray,blue ,Female,14
383,4917,tractor ,Blue ,Male,12
384,4919,turtle,blue,Female,16
385,4920,whale,blue,Female,8
386,4921,zebra,blue,Female,11
387,4922,Airplane,Gold,Female,12
388,4926,bear,gold,Female,14
389,4927,Bicycle ,Gold,Female,16
390,5762,Kangaroo,Light blue,Male,3
391,8291,1892,1828#818,Male,6
392,effe,fefe,green,Female,10
393,What is your ID number,What is your picture ID?,What is the colour of your picture ID?,Please select your gender,Score
