"","ID","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S"
"1","4219",1.24050976156106,1.7170759919448,1.77492486922034,1.09593808952923,0.954633848743219,0.669801970703643,0.899296515317599
"2","4224",0.66958983839888,0.0542521466330295,0.485808939884523,0.432625736984657,0.446503760370459,0.699867864155713,0.358041742245193
"3","4229",1.24050976156106,1.7170759919448,1.77492486922034,1.09593808952923,0.778624557468589,0.612361720940821,0.698335483337959
"4","4230",0.390381123436307,1.25855440502761,0.761675205872058,-1.77557937962167,0.672764238663077,-0.0179861737964614,0.13711767764309
"5","4232",-0.162785889013803,-0.00193245981377124,0.417496516698118,-0.0174488937577568,-0.351003351282885,-0.194091477972615,-0.588401395770294
"6","4235",0.335480864424464,0.551000086214245,0.724433244580487,0.354239385830545,-0.000152919570038099,0.518911074347604,-0.142152056108413
"7","4236",0.514987166327833,0.405192160427595,1.19592646802299,0.300417603925463,-0.272768145269553,-0.337211449354634,-0.389501598672413
"8","4240",-1.31666029500038,0.65857446875566,0.572943341832966,-1.71439748890997,-1.18649011302832,-2.07690702676355,-1.75755386981057
"9","4241",0.576013333204498,-0.556158934401216,-0.975604411425122,0.768385247605594,1.24132435142007,1.22711383213452,1.00422287750467
"10","4242",-0.612658125199969,0.821897292913676,0.185171296458103,-0.679219021983132,-2.99274816398913,-3.46546886290522,-3.56269960376151
"11","4243",-0.260228376000509,0.206043902222,-0.119391770587057,-0.160427654832128,-0.735393077431667,-0.613879455993296,-0.729150182021214
"12","4244",-0.298977332074948,0.75947971112071,0.122624189687549,-0.456117964645478,-0.717832968177611,-0.175788838431351,-0.536642658299147
"13","4245",0.732107228194499,0.493655476139211,-0.174696921741065,0.544896459547589,0.149574581959463,-0.208099282339474,-0.10315610542393
"14","4246",-0.166301685957089,-0.353905351711529,-0.933158945462537,-0.457738006627785,-0.379536785031877,-1.01778229430204,-1.00756474399584
"15","4247",0.637550147857094,-0.803047139560904,-1.09036653026755,0.121387817795499,0.906920510326873,0.0773868979615422,0.339085215915581
"16","4248",0.448773460727284,-0.313846249486999,-0.197276517832851,0.498671903726627,0.738531970419482,1.58763962732862,1.37963914862251
"17","4249",0.421373963305585,0.136204792214545,0.423594488807277,0.505549254460829,0.274277074895162,0.410682768265141,-0.157652158990946
"18","4251",-0.532260720458701,0.278471764516967,0.329782286818388,-0.257980643870835,-1.40247697033281,-1.79384839164024,-2.31634214556517
"19","4254",0.0264510965993976,0.0875406970589332,-0.137550135615242,-0.101675959743028,-0.02809562228132,0.289313644568081,0.21090157902666
"20","4257",0.455163040304896,0.326766785868963,0.79542904567527,0.275222166376903,0.876835613713928,-0.685045912065127,-0.395396716772976
"21","4258",-0.0680813295939825,1.65817502311461,1.75293471279289,0.21206071404827,0.365499103223046,0.692928007969045,0.389045987519778
