"","ID","PostScore","PreScore","Gain","SelfEfficacy_S","TaskValue","MasteryGoals_S","X","Gender","SelfEfficacy_P","PerfAvGoals","PerfAppGoals","MasteryGoals_P"
"1","4219",6,9.5,-3.5,0.953037689838461,0.638761827002126,0.801924904308406,10,"Male",0.873325531293372,1.87634492856979,2.52886611802787,0.813236680679217
"2","4224",8,3.5,4.5,0.474840408521373,0.730542383693024,0.405166031713342,14,"Female",0.67256142208307,0.0815648930967104,0.723576512336612,0.481911450742993
"3","4229",10,9,1,0.802374404068098,0.61722915574693,0.720077852034181,11,"Female",0.873325531293372,1.87634492856979,2.52886611802787,0.813236680679217
"4","4230",14,8.5,5.5,0.686539394710546,-0.0237900973337525,0.116714666538499,6,"Female",0.335040755637941,1.62769710636205,1.50846717672557,-2.28953483846546
"5","4232",12,8,4,-0.348143842107694,-0.184277140063436,-0.582495073826959,3,"Male",-0.0408105564902513,0.0188828425344839,0.598636322116305,0.160526932103102
"6","4235",8,4,4,0.0361721775187011,0.553029251552611,-0.0842970416074171,5,"Male",0.445339296420164,1.02535583192753,1.36671029149979,0.437380344131178
"7","4236",7,7,0,-0.263286975128472,-0.328273854713412,-0.351045695804974,12,"Male",0.597348684908363,0.589297801636416,2.08873157542945,0.441562334998352
"8","4243",12,14,-2,-0.749907916457744,-0.625621943722691,-0.735907246748708,52,"Female",-0.138096436763386,0.288855292936579,-0.370803688751916,-0.0399634336990352
"9","4245",11,15,-4,0.151564931973474,-0.209826443191824,-0.122239911969724,217,"Female",0.705227810261911,0.689929294491062,-0.516726343608092,0.585131951317978
"10","4248",12,11,1,0.745476473927389,1.5909982438411,1.36222950867296,61,"Female",0.545688568258832,-0.559327242864812,-0.590393335492382,0.579111616022919
"11","4249",14.5,12.5,2,0.280391990973354,0.432898796121084,-0.112266854848964,57,"Female",0.524920356259804,0.22598995298855,0.653257547863895,0.584231441764766
"12","4258",7,11.5,-4.5,0.358873931985302,0.687439243211214,0.339289278109703,56,"Male",-0.0029234453961211,1.85539410516016,2.52591493262888,0.26498808369456
"13","4260",10,9.5,0.5,0.904591882074446,0.674698515976651,0.595245686221626,59,"Male",0.44336378706682,-0.441008802618964,-0.943600955610196,0.283708024945502
"14","4264",14,13.5,0.5,-0.0949746625483898,-0.336176026895321,0.0634109454554498,54,"Male",-0.149312952246437,-0.154945839633442,-0.400419739062232,0.396161615628094
"15","4268",13,11.5,1.5,-0.580824502939199,0.448940952732117,0.174712011359767,55,"Female",-0.451579014716395,0.457602953040415,-0.688190412519296,-0.726379560648385
"16","4269",6.5,7.5,-1,0.130733989100461,-0.618854185444935,-0.470305837414155,60,"Female",-0.00182464231045384,1.47010716410381,0.979038663614712,-0.146841356041488
"17","4271",15,13,2,-0.721835990554469,0.331540610005914,0.270438823193712,53,"Male",0.572990771798311,-0.10486101207496,-0.476293468322293,0.451617091761575
"18","4272",9,13,-4,-0.440200671081167,-0.344004848552273,-0.739675219018964,37,"Female",-0.246649499122045,-1.0813416154125,-1.42538845727691,0.255686593708544
"19","4278",11,11.5,-0.5,-1.38494783870398,-1.02189189721183,-1.26657100231673,83,"Male",-0.653783004453549,-1.27787411154245,-1.34255412310995,-1.185420955202
"20","4279",14,24,-10,-0.214739978851278,-0.572131714432498,-0.564780056397408,215,"Female",0.842979860496494,1.5639861938063,1.78488140614285,0.636997674909348
"21","4279",14,24,-10,-0.214739978851278,-0.572131714432498,-0.564780056397408,213,"Male",0.630566220664646,0.838424581064218,0.250032049442146,0.738492656312629
"22","4281",14,24.5,-10.5,-0.442337292864612,-0.386076326912212,-0.663830931466632,216,"Female",-0.401338265005285,1.5332248804964,1.28933478825811,0.375420776378013
"23","4281",14,24.5,-10.5,-0.442337292864612,-0.386076326912212,-0.663830931466632,264,"Male",-0.352118180805763,1.20752646968376,1.79718199682643,-0.351579000675724
"24","4283",5,6,-1,-0.429692537981375,-0.184106620971035,-0.173137859157753,63,"Male",-0.430783743144639,-0.889763743133568,-0.856020824305015,-1.03819317855723
"25","4288",13,12,1,0.363219147716418,0.452269502979852,0.161340004866546,64,"Male",0.433009281265438,-0.0637019093571029,-0.840902730500098,0.213286737571282
"26","4290",14,14,0,0.430969557599359,-0.40567993141498,-0.344655466496052,62,"Male",0.583337893374797,-0.285309483659167,-0.687818749292122,-0.0500392120596907
"27","4291",14,10,4,-0.3709348550738,-1.50780767946567,-1.15078109448857,84,"Male",0.199599295437949,-0.383146672358273,-0.440407683927281,-0.534905447771562
"28","4294",8.5,3.5,5,-0.674402290544973,-0.056629145831318,-0.380781309107247,79,"Male",-0.712306791734528,1.69870924652718,1.95217905170724,-0.691742979813482
"29","4295",15,12.5,2.5,-1.58811169953988,-1.26625176937557,-1.32947430903644,278,"Male",0.796713477745096,-0.712505030614472,-0.927654884186059,0.444629833768844
"30","4297",6,5.5,0.5,-0.413158794114572,-0.13148160886611,-0.41256139314321,352,"Male",-0.406873597555026,0.971315000617392,0.0359314042659007,-0.311961507642692
"31","4299",8,4,4,0.633583685736248,0.454355905415973,0.470520093331489,80,"Male",0.486447376480289,1.26413641647092,1.93889932263384,-0.0627853682648002
"32","4300",5.5,5,0.5,-0.588908815320669,0.441052216398456,0.448812082345692,66,"Female",0.421398057111313,-1.24481571709991,-0.425974361848333,0.23201219494731
"33","4301",8,10,-2,0.270483439948366,0.721315257643493,0.88070146174803,78,"Female",0.819421311694355,0.864473229655242,0.50345112503725,0.509585597573583
