"ID","Gender","Certificate","Age","Age_squared","Age-cubed","PostScore","PreScore","SS_ACC","FM_ACC","CB_ACC (2)","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG","Avg_RTc","Avg_EFF","Avg_ACC","FM_RTc_mean","CB_RTc_mean"
4537,"Male","IGCSE (British)",12.9,166.41,2146.689,7.0,10.0,76.85,98.44,68.97,-0.32,-0.47,0.05,-0.18,-0.32,0.0,-0.49,0.61,1.79,1.61,1.34,-0.27,-0.21,0.45,263.0,0.77,1.15,6.28
4540,"Male","IGCSE (British)",12.61,159.01209999999998,2005.1425809999996,14.0,12.0,93.52,91.41,59.38,0.83,-1.57,-1.44,0.1,0.79,-1.72,-0.12,0.48,1.48,-0.01,0.65,-0.35,-1.51,0.59,164.36,0.94,1.11,8.1
4767,"Male","IB",13.22,174.7684,2310.4382480000004,14.0,12.0,89.81,71.88,63.33,-1.01,-0.46,-0.98,-1.3,-0.43,-0.65,-0.71,0.67,-0.29,1.0,0.46,-0.6,-0.72,1.09,144.41,0.9,0.83,6.6
4789,"Male","IB",14.79,218.74409999999997,3235.2252389999994,16.0,12.0,94.44,95.31,58.06,0.33,0.35,0.34,0.72,-0.08,-0.08,0.53,2.44,-0.09,1.67,1.34,0.12,0.34,1.04,99.9,0.94,0.76,5.23
4813,"Male","IB",14.35,205.92249999999999,2954.987875,13.0,11.0,97.22,97.66,75.0,0.19,0.05,0.23,-0.36,-0.12,-0.46,-0.24,0.16,-0.56,0.36,-0.01,-0.27,0.14,1.36,80.16,0.97,1.29,9.2
4836,"Male","IB",13.48,181.71040000000002,2449.4561920000006,16.0,12.0,91.67,96.09,59.38,0.28,-0.32,-0.14,0.11,0.97,-0.41,-0.01,1.71,0.46,0.47,0.88,0.18,-0.23,0.8,119.28,0.92,0.88,7.05
4838,"Male","IB",13.21,174.50410000000002,2305.1991610000005,10.0,9.0,83.33,87.5,74.19,-1.04,-0.24,-0.2,-0.85,-0.96,-1.55,-1.47,1.5,1.02,-0.08,0.81,-1.33,-0.22,0.6,187.29,0.83,0.83,10.35
4910,"Female","IGCSE (British)",14.21,201.92410000000004,2869.341461000001,11.0,10.0,91.67,97.66,68.75,-0.95,-0.85,-1.08,-0.32,-0.15,0.17,-0.1,0.91,1.08,-0.1,0.63,-0.03,-0.97,0.65,135.36,0.92,1.06,9.65
4431,"Female","IGCSE (British)",14.37,206.49689999999998,2967.360453,12.5,11.0,89.81,96.09,62.5,-0.87,-1.64,-1.47,-0.84,-0.89,0.07,-0.65,0.84,0.3,1.54,0.89,-0.49,-1.55,0.83,121.18,0.9,1.06,5.78
4922,"Female","IGCSE (British)",15.3,234.09000000000003,3581.5770000000007,12.5,11.0,98.15,99.22,8.33,0.26,0.62,0.34,0.31,-0.18,0.12,0.1,-0.04,-1.02,-2.91,-1.33,0.01,0.48,1.91,48.16,0.98,1.4,10.62
4267,"Female","IGCSE (British)",12.75,162.5625,2072.671875,11.0,8.0,84.26,94.53,60.71,0.39,0.36,1.01,-0.27,-0.11,0.92,0.58,-0.73,0.5,0.09,-0.05,0.47,0.69,0.72,187.5,0.84,1.7,8.03
4301,"Female","IGCSE (British)",12.36,152.7696,1888.2322559999998,7.0,9.0,94.44,100.0,62.5,1.01,0.64,0.39,0.51,0.26,0.7,0.86,0.13,0.47,-0.28,0.11,0.61,0.51,0.82,120.95,0.94,1.34,9.3
4350,"Male","IB",13.89,192.93210000000002,2679.8268690000004,16.0,11.0,77.78,92.19,62.5,-0.76,0.45,0.1,-0.51,0.19,-0.91,-0.63,0.57,1.16,-0.47,0.42,-0.45,0.27,0.54,208.71,0.78,1.09,9.93
4356,"Male","IGCSE (British)",14.53,211.12089999999998,3067.5866769999993,10.0,11.0,98.15,99.22,62.5,-0.33,0.9,0.7,0.26,-0.27,-0.04,0.12,-0.43,-1.42,-1.21,-1.02,-0.06,0.8,2.84,44.29,0.98,1.59,13.55
4362,"Male","IGCSE (British)",15.53,241.18089999999998,3745.5393769999996,12.0,10.0,92.59,98.44,78.13,-0.59,-0.12,-0.42,-0.4,-0.58,0.08,0.1,1.34,0.89,0.6,0.94,-0.13,-0.27,0.7,164.03,0.93,0.97,8.98
4432,"Female","IGCSE (British)",13.33,177.6889,2368.593037,13.0,10.0,97.22,98.44,37.5,-0.98,-0.28,-0.32,-0.53,-0.97,-1.11,-1.2,-1.63,-1.38,-2.52,-1.84,-1.1,-0.3,2.68,44.12,0.97,2.74,22.56
4451,"Female","American Diploma",15.6,243.35999999999999,3796.4159999999997,12.0,10.0,92.71,98.44,65.63,1.18,-0.09,-0.44,1.0,0.31,1.49,1.19,0.41,0.6,-0.75,0.09,1.0,-0.26,0.77,144.15,0.93,1.21,11.59
4770,"Female","IB",15.5,240.25,3723.875,9.0,8.0,80.49,95.31,58.62,0.33,-0.57,-0.16,0.43,-0.72,-0.27,0.21,-0.79,0.22,0.95,0.13,-0.26,-0.37,0.77,214.76,0.8,1.75,6.18
4786,"Male","IB",15.48,239.6304,3709.4785920000004,14.5,11.0,97.22,100.0,68.75,-0.65,0.08,0.43,-0.09,-0.27,-0.12,0.1,0.02,-0.14,0.57,0.15,-0.1,0.26,1.09,88.06,0.97,1.38,7.96
4219,"Male","IB",13.12,172.13439999999997,2258.4033279999994,8.0,8.0,86.11,97.66,68.75,1.24,1.72,1.77,1.1,0.95,0.67,0.9,-1.12,-1.93,1.2,-0.62,0.84,1.75,6.72,113.51,0.86,2.07,6.84
4242,"Male","IGCSE (British)",12.45,155.00249999999997,1929.7811249999995,5.0,10.0,93.46,96.88,42.11,-0.61,0.82,0.19,-0.68,-2.99,-3.47,-3.56,-0.85,-0.16,-1.9,-0.97,-3.34,0.5,1.06,115.61,0.93,1.82,13.73
4260,"Male","IGCSE (British)",15.33,235.0089,3602.6864370000003,11.5,10.0,90.63,97.66,63.33,0.28,-0.31,-0.46,0.06,0.9,0.7,0.67,0.23,0.43,2.31,0.99,0.76,-0.38,0.8,132.35,0.91,1.27,5.04
4360,"Male","American Diploma",15.03,225.90089999999998,3395.2905269999997,7.0,8.0,90.74,97.66,54.84,-0.34,0.62,-0.01,-0.9,-0.79,-1.56,-1.3,-0.4,-0.06,-0.22,-0.23,-1.22,0.3,0.98,189.54,0.91,1.54,8.01
4502,"Female","IGCSE (British)",13.37,178.75689999999997,2389.9797529999996,9.5,8.0,19.44,91.41,40.0,-0.56,0.59,0.22,-0.38,-0.1,-0.3,-0.6,-0.26,-0.42,-0.74,-0.48,-0.33,0.41,0.25,1198.79,0.19,1.38,7.05
4717,"Female","American Diploma",13.72,188.2384,2582.6308480000002,12.0,9.0,96.3,96.09,47.37,0.55,-1.58,-1.41,0.77,0.2,0.32,0.61,-0.21,-0.78,-0.37,-0.45,0.37,-1.5,1.56,67.72,0.96,1.43,7.26
4839,"Female","IB",13.83,191.2689,2645.248887,7.5,8.0,84.26,96.09,78.13,-1.12,0.53,0.12,-1.39,-0.98,-0.76,-0.95,0.99,0.89,0.08,0.65,-0.9,0.33,0.63,182.53,0.84,1.02,10.38
4229,"Female","IB",12.45,155.00249999999997,1929.7811249999995,9.0,8.0,94.44,90.63,47.83,1.24,1.72,1.77,1.1,0.78,0.61,0.7,-2.03,-1.24,-0.37,-1.21,0.7,1.75,2.23,113.95,0.94,3.34,7.35
4304,"Male","IGCSE (British)",12.64,159.76960000000003,2019.4877440000005,10.0,8.0,73.15,97.66,53.33,-0.35,0.61,0.59,0.1,0.57,0.13,-0.03,-1.83,0.02,-0.32,-0.71,0.22,0.6,0.76,240.26,0.73,3.11,8.04
4309,"Male","IGCSE (British)",13.33,177.6889,2368.593037,15.0,9.0,87.96,97.66,58.06,1.18,-0.12,-0.24,1.01,1.06,1.67,1.54,0.64,0.66,0.45,0.58,1.42,-0.18,0.71,148.77,0.88,1.13,6.94
4313,"Female","IGCSE (British)",12.49,156.0001,1948.441249,12.0,10.0,80.77,96.09,75.0,-0.79,-0.45,-0.24,-0.86,-1.17,-0.53,-1.07,-1.64,-0.1,0.3,-0.48,-0.92,-0.34,0.89,159.53,0.81,2.69,9.36
4348,"Female","IGCSE (British)",15.13,228.91690000000003,3463.5126970000006,8.0,8.0,92.59,88.28,58.06,0.58,0.05,0.37,0.82,0.29,-0.31,0.18,-0.56,-0.57,0.94,-0.06,0.05,0.21,1.31,112.58,0.93,1.48,6.13
4376,"Male","IGCSE (British)",13.47,181.44090000000003,2444.0089230000003,11.0,10.0,83.33,96.09,43.75,1.22,0.86,0.47,1.04,0.5,0.64,0.65,-0.29,-0.37,-1.68,-0.78,0.6,0.67,1.05,126.45,0.83,1.46,12.26
4449,"Female","American Diploma",14.94,223.2036,3334.661784,15.0,8.0,86.11,94.53,62.5,0.96,0.06,0.37,0.46,0.1,0.26,-0.67,1.61,1.72,-0.66,0.89,-0.1,0.22,0.51,211.65,0.86,0.88,10.66
4456,"Female","American Diploma",14.58,212.5764,3099.3639120000003,11.0,8.0,80.56,99.22,75.0,-0.15,-0.2,-0.06,-0.17,-0.08,-0.1,0.05,-0.55,-0.27,-0.28,-0.37,-0.04,-0.13,0.96,167.7,0.81,1.66,11.18
4459,"Female","American Diploma",15.06,226.80360000000002,3415.662216,16.0,10.0,98.15,98.44,68.75,0.85,-0.42,-0.96,0.04,0.94,-0.5,-0.13,-0.0,-0.64,-1.26,-0.63,0.1,-0.69,1.45,69.36,0.98,1.37,15.27
4465,"Male","IGCSE (British)",13.11,171.8721,2253.243231,7.0,8.0,86.11,94.53,48.39,0.07,0.81,0.11,-0.1,-0.5,-0.69,-0.39,0.99,0.35,-0.45,0.3,-0.53,0.46,0.78,188.26,0.86,1.01,7.63
4536,"Male","IGCSE (British)",13.2,174.23999999999998,2299.968,7.0,9.0,63.64,89.06,59.26,-0.48,-1.62,-1.46,-0.5,-0.62,-1.01,-0.9,-0.31,-1.11,0.41,-0.34,-0.84,-1.54,1.34,118.6,0.64,1.37,7.16
4585,"Male","IGCSE (British)",12.15,147.6225,1793.6133750000001,7.5,10.0,94.44,96.88,63.33,0.83,-0.58,-0.41,0.89,1.12,1.21,1.33,1.35,0.23,1.55,1.04,1.22,-0.49,0.9,109.55,0.94,0.95,5.84
4730,"Female","American Diploma",14.0,196.0,2744.0,15.0,10.0,86.11,94.53,56.25,1.04,0.09,-0.02,0.65,0.21,-0.37,0.16,1.69,1.39,-0.65,0.81,-0.0,0.04,0.56,181.26,0.86,0.86,9.58
4740,"Male","National",11.2,125.43999999999998,1404.9279999999997,14.0,10.0,80.56,91.41,58.06,-0.44,1.19,0.81,0.48,-0.81,-0.78,-0.82,-0.27,1.09,0.55,0.46,-0.8,1.0,0.57,206.7,0.81,1.39,6.76
4784,"Male","IB",15.02,225.60039999999998,3388.5180079999996,13.5,10.0,89.81,96.88,68.75,-0.68,-0.38,-0.74,-0.53,-1.28,-1.1,-1.34,0.94,2.71,-0.52,1.04,-1.24,-0.56,0.43,253.24,0.9,1.05,11.15
4807,"Male","IB",15.06,226.80360000000002,3415.662216,8.0,10.0,85.19,94.53,65.52,0.11,0.72,0.91,0.02,-0.55,0.2,-0.33,1.17,3.19,1.51,1.96,-0.23,0.82,0.37,280.64,0.85,0.97,6.1
4815,"Male","IB",13.18,173.7124,2289.529432,5.5,8.0,56.48,82.03,55.17,1.22,1.04,0.7,1.05,1.5,1.8,1.79,0.78,-1.54,0.44,-0.1,1.7,0.87,1.91,306.11,0.56,0.92,6.61
4230,"Female","IB",13.32,177.4224,2363.266368,13.0,7.0,77.67,53.13,61.54,0.39,1.26,0.76,-1.78,0.67,-0.02,0.14,4.5,-1.07,2.01,1.82,0.26,1.01,1.57,141.13,0.78,0.31,5.18
4247,"Male","IGCSE (British)",13.06,170.5636,2227.560616,14.0,7.0,96.3,96.09,62.5,0.64,-0.8,-1.09,0.12,0.91,0.08,0.34,-0.56,-0.01,-0.55,-0.37,0.44,-0.95,1.02,99.46,0.96,1.61,10.22
4277,"Male","IGCSE (British)",13.06,170.5636,2227.560616,12.5,9.0,90.74,96.88,71.88,-0.23,-0.64,-0.46,-0.43,-0.09,-0.86,-0.55,-0.15,0.94,-2.57,-0.6,-0.5,-0.55,0.67,160.46,0.91,1.41,46.3
4437,"Female","IGCSE (British)",13.71,187.96410000000003,2576.9878110000004,12.5,7.0,89.81,97.66,78.13,-0.27,-0.47,-0.24,-0.15,0.62,0.84,0.73,-1.63,-0.52,-0.51,-0.89,0.73,-0.35,1.23,89.15,0.9,2.73,12.6
4455,"Female","American Diploma",15.14,229.2196,3470.3847440000004,14.0,8.0,87.96,99.22,62.5,-0.36,-1.02,-1.19,-0.87,-0.58,-1.52,-1.56,0.56,1.46,1.08,1.03,-1.22,-1.11,0.56,179.89,0.88,1.18,6.4
4482,"Female","IGCSE (British)",12.66,160.2756,2029.089096,3.5,7.0,85.19,56.25,53.85,1.24,1.72,1.77,1.1,0.81,0.39,0.67,1.08,-0.09,0.1,0.36,0.62,1.75,0.94,169.51,0.85,0.59,7.12
4779,"Male","IB",14.19,201.3561,2857.243059,15.0,7.0,84.26,87.5,65.63,0.21,-0.4,-0.07,0.44,-0.14,0.01,0.07,2.71,2.61,1.03,2.12,-0.02,-0.24,0.41,247.02,0.84,0.66,6.79
4855,"Male","IB",13.41,179.8281,2411.4948210000002,13.0,9.0,70.37,93.75,75.0,-0.33,-1.23,-0.49,-0.52,-1.33,-1.23,-1.26,0.27,0.46,0.56,0.43,-1.27,-0.86,0.61,177.23,0.7,1.2,8.71
4861,"Female","IB",12.48,155.7504,1943.7649920000001,10.5,7.0,64.81,88.28,45.16,-0.63,0.18,-0.06,0.03,-0.83,-0.21,-0.34,-0.01,0.82,-1.38,-0.19,-0.46,0.06,0.5,252.25,0.65,1.23,10.65
4863,"Female","IB",13.34,177.9556,2373.927704,13.0,9.0,86.11,95.31,65.63,0.03,-1.6,-1.44,-0.01,0.23,-0.93,-0.73,0.39,-0.64,0.3,0.02,-0.48,-1.52,1.27,150.26,0.86,1.18,8.17
4232,"Male","IB",13.48,181.71040000000002,2449.4561920000006,13.0,7.0,78.7,93.75,54.84,-0.16,-0.0,0.42,-0.02,-0.35,-0.19,-0.59,-0.87,-0.6,1.19,-0.09,-0.38,0.21,1.13,151.56,0.79,1.78,5.47
4259,"Female","IGCSE (British)",12.59,158.50809999999998,1995.6169789999997,12.0,7.0,78.7,98.44,43.48,0.86,0.41,0.63,0.92,0.66,1.23,0.65,-0.82,-0.49,-1.66,-0.99,0.84,0.52,1.06,135.37,0.79,1.83,12.02
4319,"Female","IGCSE (British)",11.59,134.3281,1556.862679,7.0,6.0,35.19,95.31,53.13,-0.23,0.93,1.04,0.12,-0.03,-0.01,0.07,-1.47,-1.74,-1.41,-1.54,0.01,0.98,1.69,136.21,0.35,2.41,12.7
4357,"Male","IGCSE (British)",14.71,216.38410000000002,3183.0101110000005,6.0,7.0,70.37,97.66,56.25,0.01,1.5,1.43,0.18,0.01,-0.37,-0.31,-0.1,2.5,0.94,1.11,-0.23,1.46,0.35,294.65,0.7,1.4,5.94
4440,"Male","IGCSE (British)",13.2,174.23999999999998,2299.968,9.0,9.0,91.67,92.97,55.17,-0.46,-0.57,-1.01,-0.81,-0.7,-1.29,-1.23,-0.53,-0.9,0.67,-0.25,-1.07,-0.79,1.62,103.27,0.92,1.54,6.23
4535,"Female","IGCSE (British)",12.06,145.4436,1754.0498160000002,6.5,6.0,80.56,95.7,68.97,-0.14,-0.38,0.09,0.58,-0.17,0.04,0.16,-1.15,-1.22,0.23,-0.71,0.01,-0.14,1.86,111.47,0.81,2.06,8.76
4535,"Female","IGCSE (British)",12.06,145.4436,1754.0498160000002,6.5,6.0,80.56,95.7,68.97,-0.14,-0.38,0.09,0.58,-0.17,0.04,0.16,-1.15,-1.22,0.23,-0.71,0.01,-0.14,1.86,111.47,0.81,2.06,8.76
4535,"Female","IGCSE (British)",12.06,145.4436,1754.0498160000002,6.5,6.0,80.56,95.7,64.29,-0.14,-0.38,0.09,0.58,-0.17,0.04,0.16,-1.15,-1.22,-0.0,-0.79,0.01,-0.14,1.86,111.47,0.81,2.06,8.76
4535,"Female","IGCSE (British)",12.06,145.4436,1754.0498160000002,6.5,6.0,80.56,95.7,64.29,-0.14,-0.38,0.09,0.58,-0.17,0.04,0.16,-1.15,-1.22,-0.0,-0.79,0.01,-0.14,1.86,111.47,0.81,2.06,8.76
4562,"Female","IGCSE (British)",12.88,165.89440000000002,2136.7198720000006,5.0,7.0,2.78,57.81,45.0,-0.2,0.39,0.43,-0.31,-0.29,-0.23,-0.64,0.54,-2.08,-0.77,-0.77,-0.38,0.41,0.45,232.07,0.03,0.69,8.01
4712,"Female","American Diploma",13.23,175.0329,2315.6852670000003,13.0,9.0,91.67,97.66,60.71,-0.16,-1.28,-0.57,0.57,0.59,1.31,1.2,0.38,0.64,0.19,0.4,1.03,-0.92,0.75,131.25,0.92,1.21,7.81
4720,"Female","American Diploma",13.67,186.8689,2554.497863,15.0,7.0,87.85,97.66,65.63,0.67,0.15,-0.39,0.81,1.27,0.54,1.08,-0.64,0.13,-0.5,-0.34,0.96,-0.12,0.87,123.14,0.88,1.69,10.54
4777,"Male","IB",12.67,160.5289,2033.901163,15.0,7.0,78.7,96.09,51.61,0.95,-0.99,-0.48,0.5,0.37,-0.73,-0.27,0.8,0.54,-0.33,0.34,-0.21,-0.74,0.67,171.06,0.79,1.07,7.82
4783,"Male","IB",15.02,225.60039999999998,3388.5180079999996,8.0,7.0,87.96,94.53,53.57,-0.01,0.32,-0.41,-0.76,-0.46,-0.85,-0.79,0.27,0.55,0.84,0.55,-0.7,-0.04,0.74,147.52,0.88,1.21,5.8
4821,"Female","IB",12.86,165.37959999999998,2126.7816559999997,6.0,7.0,30.84,50.78,43.48,0.12,0.54,1.04,0.42,1.01,1.19,0.97,0.31,0.24,2.18,0.91,1.06,0.79,0.29,1239.02,0.31,0.64,3.54
4822,"Female","IB",12.87,165.63689999999997,2131.7469029999993,7.0,7.0,90.74,98.44,65.63,0.3,0.01,-0.08,0.7,0.71,0.74,0.48,-0.82,0.55,-0.05,-0.11,0.65,-0.04,0.76,121.72,0.91,1.83,9.07
4269,"Female","IGCSE (British)",13.71,187.96410000000003,2576.9878110000004,6.5,6.0,95.37,95.31,42.31,-0.15,1.14,0.64,-0.28,0.13,-0.59,-0.42,0.19,-0.45,-0.85,-0.37,-0.29,0.89,1.26,82.75,0.95,1.25,7.8
4383,"Male","IGCSE (British)",13.37,178.75689999999997,2389.9797529999996,5.5,6.0,81.48,73.44,71.88,0.06,-0.76,0.08,0.65,0.38,0.89,0.96,0.58,0.77,-1.02,0.11,0.75,-0.34,0.64,233.79,0.81,0.87,14.23
4407,"Male","IGCSE (British)",12.93,167.1849,2161.700757,12.0,6.0,84.26,97.66,62.07,0.43,0.25,-0.25,0.48,0.01,0.06,-0.3,0.25,-0.19,1.13,0.4,-0.07,-0.0,0.97,123.3,0.84,1.26,6.27
4453,"Female","American Diploma",15.45,238.7025,3687.9536249999996,10.0,7.0,89.62,96.09,70.0,-0.45,-1.15,-0.27,-0.89,-0.12,-0.11,-0.35,-0.67,1.38,0.34,0.35,-0.19,-0.71,0.58,179.33,0.9,1.68,8.62
4518,"Female","IGCSE (British)",13.15,172.9225,2273.930875,9.0,6.0,88.89,92.97,57.69,-0.29,-0.89,-1.15,-1.14,-0.74,-1.27,-1.19,-0.28,0.83,0.37,0.31,-1.06,-1.02,0.68,152.46,0.89,1.42,7.04
4722,"Female","IB",13.81,190.7161,2633.789341,10.0,8.0,93.52,95.31,59.38,0.93,0.96,1.33,0.3,0.99,1.17,0.92,-0.47,-1.04,-0.14,-0.55,1.03,1.14,1.85,79.31,0.94,1.55,8.44
4739,"Male","National",10.29,105.88409999999999,1089.5473889999998,10.0,8.0,75.0,91.41,62.5,-1.07,-0.04,0.34,-0.3,-1.07,-0.61,-0.92,0.28,0.14,-0.31,0.04,-0.87,0.15,0.74,158.17,0.75,1.17,9.4
4748,"Male","National",10.18,103.63239999999999,1054.9778319999998,2.5,8.0,76.85,93.75,40.74,0.65,1.69,1.76,0.59,-0.8,-0.18,-0.29,-1.8,-0.67,-0.45,-0.97,-0.42,1.73,1.15,109.03,0.77,2.92,6.43
4903,"Female","IGCSE (British)",14.32,205.0624,2936.493568,9.0,6.0,100.0,99.22,68.97,-0.13,-0.35,-0.31,-0.14,-0.74,0.21,-0.06,-0.57,-0.88,-0.09,-0.51,-0.2,-0.33,1.74,49.5,1.0,1.67,9.64
4236,"Male","IB",12.34,152.2756,1879.080904,8.0,8.0,86.11,92.19,46.67,0.51,0.41,1.2,0.3,-0.27,-0.34,-0.39,-0.92,-1.57,1.79,-0.23,-0.33,0.8,3.05,138.57,0.86,1.79,4.1
4284,"Female","IGCSE (British)",12.42,154.25639999999999,1915.8644879999997,7.0,8.0,83.33,95.31,55.17,-0.97,-0.26,-0.14,-0.89,-0.43,-0.75,-1.1,-1.55,-0.83,0.02,-0.79,-0.76,-0.2,1.39,99.45,0.83,2.54,7.47
4287,"Female","IGCSE (British)",13.17,173.4489,2284.322013,9.0,6.0,77.78,98.44,62.5,-0.12,-0.73,-0.35,0.57,0.7,0.76,0.2,-0.18,-0.93,-0.68,-0.6,0.55,-0.54,1.4,104.35,0.78,1.45,10.74
4305,"Female","National",13.83,191.2689,2645.248887,7.0,6.0,79.59,98.05,50.0,-1.21,0.48,0.48,-1.13,-0.96,-1.1,-1.28,-0.9,0.35,-0.26,-0.27,-1.11,0.48,0.72,190.46,0.8,1.88,7.38
4305,"Female","National",13.83,191.2689,2645.248887,7.0,6.0,79.59,98.05,50.0,-1.21,0.48,0.48,-1.13,-0.96,-1.1,-1.28,-0.9,0.35,-0.26,-0.27,-1.11,0.48,0.72,190.46,0.8,1.88,7.38
4305,"Female","National",13.83,191.2689,2645.248887,7.0,6.0,79.59,98.05,58.62,-1.21,0.48,0.48,-1.13,-0.96,-1.1,-1.28,-0.9,0.35,0.26,-0.1,-1.11,0.48,0.72,190.46,0.8,1.88,7.38
4305,"Female","National",13.83,191.2689,2645.248887,7.0,6.0,79.59,98.05,58.62,-1.21,0.48,0.48,-1.13,-0.96,-1.1,-1.28,-0.9,0.35,0.26,-0.1,-1.11,0.48,0.72,190.46,0.8,1.88,7.38
4314,"Male","Other?",14.61,213.45209999999997,3118.5351809999993,12.0,7.0,91.67,99.22,75.0,0.03,-0.53,-0.06,0.22,-0.46,-0.82,-0.16,0.03,0.25,-0.37,-0.03,-0.48,-0.29,0.87,114.74,0.92,1.37,11.49
4321,"Female","IGCSE (British)",12.19,148.59609999999998,1811.3864589999996,5.5,5.0,76.85,95.31,72.41,-0.28,-0.84,-1.1,-0.43,-0.59,-0.26,-0.46,-0.29,0.71,0.86,0.43,-0.44,-0.97,0.61,188.15,0.77,1.46,7.79
4339,"Female","IGCSE (British)",14.64,214.32960000000003,3137.7853440000004,12.0,8.0,92.59,94.53,75.0,0.13,-0.18,-0.03,-0.21,-0.42,-0.04,-0.14,0.12,0.88,-0.83,0.06,-0.2,-0.11,0.7,146.13,0.93,1.27,13.71
4457,"Female","American Diploma",14.72,216.6784,3189.506048,5.0,6.0,79.63,94.44,64.29,-0.13,0.26,0.27,-0.18,-0.18,-0.35,-0.62,-1.07,-0.0,1.15,0.03,-0.38,0.27,0.84,140.73,0.8,1.96,6.47
4476,"Female","IGCSE (British)",12.47,155.50090000000003,1939.0962230000005,9.0,6.0,95.37,96.88,62.5,0.72,0.22,0.22,0.56,0.88,0.39,0.91,-0.41,0.12,-1.08,-0.46,0.73,0.22,0.95,102.05,0.95,1.54,12.73
4485,"Male","IGCSE (British)",12.74,162.3076,2067.798824,11.5,5.0,91.67,89.06,65.63,0.19,1.25,1.29,0.15,-0.37,-0.0,0.07,-0.83,-0.77,0.12,-0.49,-0.1,1.27,1.48,148.57,0.92,1.66,8.6
4505,"Male","IB",13.31,177.1561,2357.9476910000003,6.0,8.0,87.96,94.53,58.06,1.21,0.96,1.31,1.08,0.22,0.48,0.77,-0.2,1.69,-0.75,0.25,0.49,1.13,0.53,199.11,0.88,1.4,10.25
4507,"Male","IGCSE (British)",12.34,152.2756,1879.080904,16.0,8.0,85.19,90.63,57.14,1.19,0.28,0.04,1.02,1.5,1.8,1.79,-0.38,0.17,0.99,0.26,1.7,0.16,0.83,158.47,0.85,1.43,5.97
4514,"Female","IGCSE (British)",12.55,157.50250000000003,1976.6563750000005,8.0,6.0,87.04,94.53,55.17,0.47,1.17,1.29,0.8,0.14,-0.21,-0.11,-0.5,-0.06,-0.53,-0.36,-0.06,1.23,0.94,144.69,0.87,1.55,8.96
4558,"Male","IGCSE (British)",12.89,166.15210000000002,2141.7005690000005,5.0,5.0,81.48,77.34,42.86,0.17,-0.38,-0.01,0.08,-0.18,-0.55,-0.66,-0.42,0.27,-0.76,-0.3,-0.46,-0.19,0.76,162.97,0.81,1.23,7.62
4760,"Female","National",12.03,144.72089999999997,1740.9924269999997,15.0,5.0,90.74,95.31,68.75,0.3,1.47,1.34,0.25,-0.5,-0.64,-0.55,-1.19,-0.67,-2.0,-1.28,-0.56,1.41,1.36,105.0,0.91,2.09,24.21
4760,"Female","National",12.03,144.72089999999997,1740.9924269999997,15.0,5.0,90.74,95.31,68.75,0.3,1.47,1.34,0.25,-0.5,-0.64,-0.55,-1.19,-0.67,-2.0,-1.28,-0.56,1.41,1.36,105.0,0.91,2.09,24.21
4761,"Male","American Diploma",13.07,170.8249,2232.6814430000004,14.0,6.0,99.07,96.09,67.74,0.71,-0.08,-0.04,0.56,0.8,0.66,0.99,-0.04,-0.86,-0.13,-0.34,0.82,-0.06,1.7,58.03,0.99,1.35,9.59
4816,"Male","IB",12.54,157.25159999999997,1971.9350639999996,4.0,6.0,74.07,70.31,37.5,-0.84,1.4,1.29,-0.42,1.34,0.96,1.28,1.46,0.83,-0.77,0.51,1.19,1.35,0.57,205.12,0.74,0.67,6.68
4886,"Female","IGCSE (British)",15.09,227.7081,3436.115229,13.0,8.0,89.81,99.22,75.0,0.41,-0.58,-0.42,0.31,-0.31,0.37,0.23,-0.63,-0.76,-2.05,-1.15,0.1,-0.5,1.43,119.41,0.9,1.71,27.56
4907,"Male","IGCSE (British)",12.83,164.6089,2111.932187,8.0,5.0,100.0,92.97,59.38,-0.07,0.8,-0.31,-0.86,-0.58,-0.4,-0.72,-1.03,-0.76,-1.25,-1.01,-0.57,0.25,1.59,68.44,1.0,1.89,13.13
4382,"Female","IGCSE (British)",13.1,171.60999999999999,2248.091,7.5,5.0,79.63,76.56,62.5,-0.39,0.47,0.69,-0.18,-0.82,-0.85,-0.88,-0.55,-1.85,-0.12,-0.84,-0.85,0.58,4.87,137.1,0.8,1.28,8.83
4382,"Female","IGCSE (British)",13.1,171.60999999999999,2248.091,7.5,5.0,79.63,76.56,62.5,-0.39,0.47,0.69,-0.18,-0.82,-0.85,-0.88,-0.55,-1.85,-0.12,-0.84,-0.85,0.58,4.87,137.1,0.8,1.28,8.83
4382,"Female","IGCSE (British)",13.1,171.60999999999999,2248.091,7.5,5.0,79.63,76.56,60.87,-0.39,0.47,0.69,-0.18,-0.82,-0.85,-0.88,-0.55,-1.85,-0.2,-0.87,-0.85,0.58,4.87,137.1,0.8,1.28,8.83
4382,"Female","IGCSE (British)",13.1,171.60999999999999,2248.091,7.5,5.0,79.63,76.56,60.87,-0.39,0.47,0.69,-0.18,-0.82,-0.85,-0.88,-0.55,-1.85,-0.2,-0.87,-0.85,0.58,4.87,137.1,0.8,1.28,8.83
