"","ID","Gender.x","Certificate (2)","Age","FM_Per.ACC","FM_EFF2","SS_ACC","SS_EFF","CB_PerCorrect","CB_EFF","SE_P","PAV","PAp","MG_P","SE_S.x","TV.x","MG_S.x","PostScore.x","PreScore.x","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG","PostScore.y","PreScore.y","SE_S.y","TV.y","MG_S.y","X.1","X.x","Gender.y","SelfEfficacy_P","PerfAvGoals","PerfAppGoals","MasteryGoals_P","Average.of.RTc","Average.of.EFF","Average.of.ACC","Per.Correct","Eff2","FM_ACC_mean","FM_EFF_mean","FM_RTc_mean","Per.ACC","EFF2","X.y","session_code","CB_ACC","CB_RTc_mean","PerCorrect","EFF"
"1","4219","Male","IB",13.120218579235,97.66,47.14,86.11,12.81,68.75,10.0582547514863,1.24050976156106,1.7170759919448,1.77492486922034,1.09593808952923,0.954633848743219,0.669801970703643,0.899296515317599,6,9.5,-1.12108738051543,-1.92950951699117,1.20231837467194,-0.616092840944887,0.841244111588154,1.74600043058257,8,8,0.954633848743219,0.669801970703643,0.899296515317599,10,10,"Male",0.873325531293372,1.87634492856979,2.52886611802787,0.813236680679217,6.72,"113.51",0.86,86.11,"12.81",0.98,67.39,2.07,97.66,47.14,2,"ozWyeSZDVUJi",0.6875,6.83518181818182,68.75,10.0582547514863
"2","4224","Female","IB",12.5775731716446,96.88,51.85,76.85,23.33,55.5555555555556,7.2506010748291,0.66958983839888,0.0542521466330295,0.485808939884523,0.432625736984657,0.446503760370459,0.699867864155713,0.358041742245193,8,3.5,-0.908286042983831,-1.68270785782782,-0.0439610848775087,-0.878318328563052,0.501471122257122,0.270030543258776,9,2,0.446503760370459,0.699867864155713,0.358041742245193,14,14,"Female",0.67256142208307,0.0815648930967104,0.723576512336612,0.481911450742993,3.29,"132.66",0.77,76.85,"23.33",0.97,67.99,1.87,96.88,51.85,6,"n1EkQhlUu0Ji",0.555555555555556,7.6622,55.5555555555556,7.2506010748291
"3","4229","Female","IB",12.4460663223295,90.63,27.13,94.44,42.36,47.8260869565217,6.50485875317448,1.24050976156106,1.7170759919448,1.77492486922034,1.09593808952923,0.778624557468589,0.612361720940821,0.698335483337959,10,9,-2.02515420939172,-1.23625960936026,-0.374986006263618,-1.2121332750052,0.696440587249123,1.74600043058257,9,8,0.778624557468589,0.612361720940821,0.698335483337959,11,11,"Female",0.873325531293372,1.87634492856979,2.52886611802787,0.813236680679217,2.23,"113.95",0.94,94.44,"42.36",0.91,91.95,3.34,90.63,27.13,11,"HXzxxcWct5E6",0.478260869565217,7.35236363636364,47.8260869565217,6.50485875317448
"4","4230","Female","IB",13.3172991990418,53.13,171.58,77.67,49.59,61.5384615384615,11.8870396906398,0.390381123436307,1.25855440502761,0.761675205872058,-1.77557937962167,0.672764238663077,-0.0179861737964614,0.13711767764309,14,8.5,4.50120528242136,-1.06664211926986,2.01409125269797,1.81621813861649,0.263965247503235,1.01011480544983,13,7,0.672764238663077,-0.0179861737964614,0.13711767764309,6,6,"Female",0.335040755637941,1.62769710636205,1.50846717672557,-2.28953483846546,1.57,"141.13",0.78,77.67,"49.59",0.53,1434.88,0.31,53.13,171.58,12,"BVi3zc6Cbedq",0.615384615384615,5.1769375,61.5384615384615,11.8870396906398
"5","4232","Male","IB",13.4762033086309,93.75,52.73,78.7,69.68,54.8387096774194,10.0235258046828,-0.162785889013803,-0.00193245981377124,0.417496516698118,-0.0174488937577568,-0.351003351282885,-0.194091477972615,-0.588401395770294,12,8,-0.868526982043745,-0.595326023015885,1.18690266531546,-0.092316779914722,-0.377832075008598,0.207782028442173,13,7,-0.351003351282885,-0.194091477972615,-0.588401395770294,3,3,"Male",-0.0408105564902513,0.0188828425344839,0.598636322116305,0.160526932103102,1.13,"151.56",0.79,78.7,"69.68",0.94,86.52,1.78,93.75,52.73,14,"6hwOsRZfaP9p",0.548387096774194,5.471,54.8387096774194,10.0235258046828
"6","4235","Male","IB",12.9008608428775,98.44,75.16,93.52,29.4,65.3846153846154,8.97610864259496,0.335480864424464,0.551000086214245,0.724433244580487,0.354239385830545,-0.00015291957003809,0.518911074347604,-0.142152056108413,8,4,0.144877264417781,-1.54030423889991,0.721968366066764,-0.224486202805122,0.125535366223051,0.637716665397366,9.5,5,-0.00015291957003809,0.518911074347604,-0.142152056108413,5,5,"Male",0.445339296420164,1.02535583192753,1.36671029149979,0.437380344131178,3.18,"90.39",0.94,93.52,"29.40",0.98,100.15,1.31,98.44,75.16,17,"TSIoJtYU0Iwq",0.653846153846154,7.28429411764706,65.3846153846154,8.97610864259496
"7","4236","Male","IB",12.3364772812336,92.19,51.64,86.11,28.21,46.6666666666667,11.3753757936646,0.514987166327833,0.405192160427595,1.19592646802299,0.300417603925463,-0.272768145269553,-0.337211449354634,-0.389501598672413,7,7,-0.91777400070817,-1.56822191707523,1.78697057528151,-0.233008447500632,-0.333160397765533,0.800559314225292,8,8,-0.272768145269553,-0.337211449354634,-0.389501598672413,12,12,"Male",0.597348684908363,0.589297801636416,2.08873157542945,0.441562334998352,3.05,"138.57",0.86,86.11,"28.21",0.92,99.54,1.79,92.19,51.64,18,"ODk6lr3yp2OR",0.466666666666667,4.10242857142857,46.6666666666667,11.3753757936646
"8","4240","Male","IGCSE (British)",14.292349726776,94.53,81.82,91.67,97.75,62.0689655172414,7.77779511511257,-1.31666029500038,0.65857446875566,0.572943341832966,-1.71439748890997,-1.18649011302832,-2.07690702676355,-1.75755386981057,6.5,3,0.445781066532527,0.063202738649075,0.19005321292023,0.233012339367277,-1.67365033653415,0.615758905294313,6,2,-1.18649011302832,-2.07690702676355,-1.75755386981057,58,58,"Male",-1.58622438499595,0.908267516161839,0.866246212310985,-2.13746652113771,0.94,"103.39",0.92,91.67,"97.75",0.95,100.73,1.16,94.53,81.82,20,"5M65EdqF6SpZ",0.620689655172414,7.98027777777778,62.0689655172414,7.77779511511257
"9","4241","Male","IGCSE (British)",12.7800658731941,93.75,56.82,89.81,49.28,57.6923076923077,10.0308862131933,0.576013333204498,-0.556158934401216,-0.975604411425122,0.768385247605594,1.24132435142007,1.22711383213452,1.00422287750467,14,12,-0.683737710174478,-1.0739147917357,1.19016985101461,-0.189160883631856,1.15755368701975,-0.765881672913169,15,11,1.24132435142007,1.22711383213452,1.00422287750467,23,23,"Male",0.618240146875107,-0.710348899623776,-1.35846540571412,0.725232140664004,1.82,"111.48",0.9,89.81,"49.28",0.94,107.24,1.65,93.75,56.82,21,"FLoBFEQl5RpX",0.576923076923077,5.75146666666667,57.6923076923077,10.0308862131933
"10","4242","Male","IGCSE (British)",12.4512987499064,96.88,53.22,93.46,88.38,42.1052631578947,3.06694077449839,-0.612658125199969,0.821897292913676,0.185171296458103,-0.679219021983132,-2.99274816398913,-3.46546886290522,-3.56269960376151,3,9.5,-0.846388414020287,-0.156619651689389,-1.90103125752161,-0.968013107743763,-3.34030554355195,0.50353429468589,5,10,-2.99274816398913,-3.46546886290522,-3.56269960376151,33,33,"Male",-0.58524631199449,1.13109418078945,0.17917033799163,-0.687106633511717,1.06,"115.61",0.93,93.46,"88.38",0.97,66.9,1.82,96.88,53.22,22,"uU97986AZLDV",0.421052631578947,13.72875,42.1052631578947,3.06694077449839
