"","subject_id","session_code","CB_ACC","CB_RTc_mean","PerCorrect","EFF"
"1","4216","wvqWsir8kW9U",0.586206896551724,6.57070588235294,58.6206896551724,8.92152086925866
"2","4219","ozWyeSZDVUJi",0.6875,6.83518181818182,68.75,10.0582547514863
"3","4220","97H9QrNOMM6E",0.625,8.1086,62.5,7.70786572281282
"4","4221","vD7qLMJxtvDQ",0.580645161290323,5.87361111111111,58.0645161290323,9.88565892951129
"5","4222","USzFTvHpguDM",0.315789473684211,7.31633333333333,31.5789473684211,4.31622589207996
"6","4224","n1EkQhlUu0Ji",0.555555555555556,7.6622,55.5555555555556,7.2506010748291
"7","4225","J6CSblfAvbsy",0.620689655172414,7.42483333333333,62.0689655172414,8.35964428165499
"8","4226","NrZ5KBEnEot8",0.620689655172414,9.36688888888889,62.0689655172414,6.62642273795607
"9","4227","y61cYwaXhjUM",0.483870967741935,6.61873333333333,48.3870967741936,7.31062793095258
"10","4228","zVCifYjuueJT",0.7,7.72828571428571,70,9.0576361418167
"11","4229","HXzxxcWct5E6",0.478260869565217,7.35236363636364,47.8260869565217,6.50485875317448
"12","4230","BVi3zc6Cbedq",0.615384615384615,5.1769375,61.5384615384615,11.8870396906398
"13","4231","Vc0Vu4VA2ZxF",0.272727272727273,13.322,27.2727272727273,2.04719466091632
"14","4232","6hwOsRZfaP9p",0.548387096774194,5.471,54.8387096774194,10.0235258046828
"15","4233","m3ON5Ayofxwi",0.71875,6.70939130434783,71.875,10.7125962311102
"16","4234","NxnQT840p14t",0.476190476190476,7.8183,47.6190476190476,6.09071634742177
"17","4235","TSIoJtYU0Iwq",0.653846153846154,7.28429411764706,65.3846153846154,8.97610864259496
"18","4236","ODk6lr3yp2OR",0.466666666666667,4.10242857142857,46.6666666666667,11.3753757936646
"19","4239","Bo6dvWtAIFRn",0.566666666666667,9.99417647058823,56.6666666666667,5.66996858955117
"20","4240","5M65EdqF6SpZ",0.620689655172414,7.98027777777778,62.0689655172414,7.77779511511257
"21","4241","FLoBFEQl5RpX",0.576923076923077,5.75146666666667,57.6923076923077,10.0308862131933
"22","4242","uU97986AZLDV",0.421052631578947,13.72875,42.1052631578947,3.06694077449839
"23","4243","wgMLC8LFDGeA",0.655172413793103,7.04189473684211,65.5172413793103,9.30392228621855
"24","4244","AWRoKZCNNSVc",0.482758620689655,7.9925,48.2758620689655,6.04014539492843
"25","4245","u4JINuGkjYZK",0.71875,11.2792608695652,71.875,6.37231471380718
"26","4247","SD51KJW64Kpk",0.625,10.2189,62.5,6.1161181731889
"27","4248","7hej9JvfkMul",0.75,10.5362916666667,75,7.11825397139253
"28","4249","LyLzc0zsIgLD",0.518518518518518,5.87885714285714,51.8518518518518,8.82005644836127
"29","4251","qXbSqxKGjKyI",0.580645161290323,6.12933333333333,58.0645161290323,9.47321885942445
"30","4252","AbeNqoalcBfJ",0.5,7.94646153846154,50,6.29210872763881
"31","4256","ECw0nZ2jo8C8",0.36,11.8374444444444,36,3.04119695504848
"32","4257","4awoMMSbvJ9E",0.67741935483871,9.459,67.741935483871,7.16163817357765
"33","4258","hWuJiXDOyI47",0.533333333333333,8.371,53.3333333333333,6.37120216620874
"34","4259","mTLc51lgErk3",0.434782608695652,12.0236,43.4782608695652,3.61607678811381
"35","4260","S0C9cae2hNbN",0.633333333333333,5.04236842105263,63.3333333333333,12.5602351999722
"36","4261","3nRAwtgX2spT",0.65625,7.59514285714286,65.625,8.64039047511567
"37","4264","YtIyyTig6vWi",0.6875,8.04536363636364,68.75,8.5452942971107
"38","4264F","kABEGrEB69a1",0.548387096774194,9.556,54.8387096774194,5.73866781890115
"39","4267","OEjQ3nZCeOqr",0.607142857142857,8.03435294117647,60.7142857142857,7.55683577243936
"40","4268","fRgJW4Lt0TEm",0.6875,11.3329545454545,68.75,6.06637922390454
"41","4269","jeO5HCRIEFgs",0.423076923076923,7.79790909090909,42.3076923076923,5.4255175091763
"42","4270","FLjjVtHvNQGr",0.607142857142857,9.05917647058824,60.7142857142857,6.70196522955506
"43","4271","uQjJD9XQcMmC",0.71875,9.34226086956522,71.875,7.69353382478871
"44","4272","zOIhhQih59M2",0.6,8.35533333333333,60,7.18104204899066
"45","4273","FCFmg69vn2dG",0.65625,8.411,65.625,7.80228272500297
"46","4275","pDLRzmSLz1sV",0.655172413793103,7.63421052631579,65.5172413793103,8.58205850539053
"47","4276","RugPa8vws7ls",0.59375,7.53226315789474,59.375,7.8827569822448
"48","4277","31tDi2gMXpGk",0.71875,46.2992608695652,71.875,1.55240059236555
"49","4278","ccyWdtQBXiVY",0.6,7.21194444444444,60,8.31953164118168
"50","4279","4V1gOkZkvf2E",0.5,8.4514347826087,50,5.91615521933502
"51","4279","GGVLuaZRViPc",0.5,8.4514347826087,50,5.91615521933502
"52","4279","wU8aVJxcW7Wg",0.71875,8.4514347826087,71.875,8.5044731277941
"53","4280","Qfx4GzqUfw2d",0.5,6.9413,50,7.20326163686917
"54","4281","zvPQ5AcAJDnY",0.71875,6.13039130434783,71.875,11.72437393173
"55","4281F","EEXtGDjlKoVR",0.483870967741935,7.66333333333333,48.3870967741936,6.31410571216097
"56","4282K","UhjZoRXjCyKf",0.5625,7.24211111111111,56.25,7.76707221651145
"57","4283F","8EL10zJDHAg2",0.620689655172414,9.20055555555555,62.0689655172414,6.74621930626378
"58","4284","SqlPl0e2JqA8",0.551724137931034,7.468625,55.1724137931034,7.38722506393124
"59","4286","7AAODCtYm119",0.535714285714286,6.14686666666667,53.5714285714286,8.71524167946193
