"","ID","PostScore","PreScore","Gain","SelfEfficacy_S","TaskValue","MasteryGoals_S","X","Gender","SelfEfficacy_P","PerfAvGoals","PerfAppGoals","MasteryGoals_P","Average.of.RTc","Average.of.EFF","Average.of.ACC","Per.Correct","Eff2"
"1","4219",6,9.5,-3.5,0.953037689838461,0.638761827002126,0.801924904308406,10,"Male",0.873325531293372,1.87634492856979,2.52886611802787,0.813236680679217,6.72,"113.51",0.86,86.11,"12.81"
"2","4224",8,3.5,4.5,0.474840408521373,0.730542383693024,0.405166031713342,14,"Female",0.67256142208307,0.0815648930967104,0.723576512336612,0.481911450742993,3.29,"132.66",0.77,76.85,"23.33"
"3","4229",10,9,1,0.802374404068098,0.61722915574693,0.720077852034181,11,"Female",0.873325531293372,1.87634492856979,2.52886611802787,0.813236680679217,2.23,"113.95",0.94,94.44,"42.36"
"4","4230",14,8.5,5.5,0.686539394710546,-0.0237900973337525,0.116714666538499,6,"Female",0.335040755637941,1.62769710636205,1.50846717672557,-2.28953483846546,1.57,"141.13",0.78,77.67,"49.59"
"5","4232",12,8,4,-0.348143842107694,-0.184277140063436,-0.582495073826959,3,"Male",-0.0408105564902513,0.0188828425344839,0.598636322116305,0.160526932103102,1.13,"151.56",0.79,78.7,"69.68"
"6","4235",8,4,4,0.0361721775187011,0.553029251552611,-0.0842970416074171,5,"Male",0.445339296420164,1.02535583192753,1.36671029149979,0.437380344131178,3.18,"90.39",0.94,93.52,"29.40"
"7","4236",7,7,0,-0.263286975128472,-0.328273854713412,-0.351045695804974,12,"Male",0.597348684908363,0.589297801636416,2.08873157542945,0.441562334998352,3.05,"138.57",0.86,86.11,"28.21"
"8","4243",12,14,-2,-0.749907916457744,-0.625621943722691,-0.735907246748708,52,"Female",-0.138096436763386,0.288855292936579,-0.370803688751916,-0.0399634336990352,0.76,"153.79",0.73,73.15,"96.69"
"9","4245",11,15,-4,0.151564931973474,-0.209826443191824,-0.122239911969724,217,"Female",0.705227810261911,0.689929294491062,-0.516726343608092,0.585131951317978,1.16,"141.52",0.94,93.52,"80.40"
"10","4248",12,11,1,0.745476473927389,1.5909982438411,1.36222950867296,61,"Female",0.545688568258832,-0.559327242864812,-0.590393335492382,0.579111616022919,1.33,"312.89",0.97,96.7,"72.65"
"11","4249",14.5,12.5,2,0.280391990973354,0.432898796121084,-0.112266854848964,57,"Female",0.524920356259804,0.22598995298855,0.653257547863895,0.584231441764766,1.05,"111.66",0.9,90.48,"85.94"
"12","4258",7,11.5,-4.5,0.358873931985302,0.687439243211214,0.339289278109703,56,"Male",-0.0029234453961211,1.85539410516016,2.52591493262888,0.26498808369456,2.12,"51.13",1,100,"47.27"
"13","4260",10,9.5,0.5,0.904591882074446,0.674698515976651,0.595245686221626,59,"Male",0.44336378706682,-0.441008802618964,-0.943600955610196,0.283708024945502,0.8,"132.35",0.91,90.63,"113.19"
"14","4268",13,11.5,1.5,-0.580824502939199,0.448940952732117,0.174712011359767,55,"Female",-0.451579014716395,0.457602953040415,-0.688190412519296,-0.726379560648385,1.25,"103.25",0.87,87.04,"69.68"
"15","4269",6.5,7.5,-1,0.130733989100461,-0.618854185444935,-0.470305837414155,60,"Female",-0.00182464231045384,1.47010716410381,0.979038663614712,-0.146841356041488,1.26,"82.75",0.95,95.37,"75.90"
"16","4271",15,13,2,-0.721835990554469,0.331540610005914,0.270438823193712,53,"Male",0.572990771798311,-0.10486101207496,-0.476293468322293,0.451617091761575,0.87,"125.28",0.84,84.26,"97.17"
