"","subject_id","FM_Per.ACC","FM_EFF2","SS_ACC","SS_EFF","CB_PerCorrect","CB_EFF"
"77","4312",98.44,63.07,83.96,93.25,70,5.85370515643728
"78","4313",96.09,35.76,80.77,91,75,8.01530796594385
"79","4314",99.22,72.66,91.67,105.79,75,6.52661044112635
"80","4315",92.19,55.61,92.59,85.71,65.5172413793103,4.94780273699838
"81","4317",92.19,69.15,95.37,69.8,68.75,10.0355640484627
"82","4318",86.72,57.61,77.78,88.3,64.5161290322581,5.98499292947898
"83","4319",95.31,39.51,35.19,20.79,53.125,4.18247032616901
"84","4321",95.31,65.49,76.85,125.29,72.4137931034483,9.29590771376952
"85","4322",96.09,84.59,81.48,118.61,71.875,9.36227509302102
"86","4323",74.22,75.14,95.37,82.19,56.6666666666667,6.55717154476836
"87","4323",74.22,75.14,95.37,82.19,68.1818181818182,7.88964490680686
"88","4324",95.31,88.84,97.22,55.31,70,10.4599533215689
"89","4325",92.19,76.85,94.44,109.8,62.0689655172414,7.09950104093147
"90","4326F",97.66,83.22,75,144.77,65.5172413793103,11.2581742609445
"91","4327",93.75,88.31,91.67,151.9,66.6666666666667,9.34944242262752
"92","4328",98.44,76.32,83.33,116.92,65.625,6.10743772352391
"93","4330",85.16,77.16,85.19,73.83,26.0869565217391,3.64886560822535
"94","4331",90.63,76.19,80.95,198.65,63.3333333333333,7.59138577487861
"95","4332",98.44,88.29,95.37,72.4,78.125,9.34737663257541
"96","4335",91.41,98.89,85.19,152.4,78.125,6.28060917688446
"97","4338",96.88,56.09,97.22,77.68,68.75,4.90156363930973
"98","4339",94.53,74.58,92.59,132.65,75,5.46997742114876
"99","4340",90.4,46.15,79.63,64.81,60.7142857142857,4.75219209248391
"100","4341",90.63,104.62,88.89,169.95,65.625,9.55114388484223
"101","4342",100,63.18,98.15,60.14,68.75,4.63674014941799
"102","4343",96.88,75.16,79.63,101.13,71.875,6.90110417666827
"103","4344",90.63,96.41,87.96,211.19,71.875,10.6066098628239
"104","4345",99.22,72.57,96.3,83.18,66.6666666666667,6.53200929504923
"105","4346",93.75,65.58,83.33,8.39,62.5,9.53063527402482
"106","4348",88.28,59.62,92.59,70.94,58.0645161290323,9.46618322907871
"107","4350",92.19,84.47,77.78,144.35,62.5,6.29684855323608
"108","4352",98.44,71.03,87.74,118.57,65.625,8.19220206391478
"109","4353F",99.22,76.53,80.56,167.55,62.0689655172414,6.82464023719416
"110","4355",98.44,65.02,96.3,107.28,70,8.77480972989106
"111","4356",99.22,62.4,98.15,34.56,62.5,4.61273335818059
"112","4357",97.66,69.81,70.37,201.61,56.25,9.47040556719545
"113","4358F",93.75,26.6,86.11,102.67,53.3333333333333,6.1604508679979
"114","4360",97.66,63.21,90.74,92.37,54.8387096774194,6.85000341315049
"115","4362",98.44,101.61,92.59,132.97,78.125,8.69973363503546
"116","4363",98.44,70.46,99.07,47.22,64.2857142857143,5.76800650574166
"117","4364",96.09,55.68,88.89,114.27,68.75,3.62444734666491
"118","4365",95.31,115.51,83.33,196.66,71.875,11.3482687132737
"119","4368",74.22,65.91,78.7,80.15,18.75,3.77998790403871
"120","4370",90.63,98.07,87.96,76.78,59.375,8.19328341407084
"121","4372",93.75,70.75,75,136.23,65.625,6.19306870626935
"122","4373",97.66,130.97,75.93,41.57,68.75,9.55838673390715
"123","4374",93.75,96.66,82.41,66.83,59.375,10.6260478872709
"124","4375",98.44,69.33,92.59,117.18,62.5,7.04407902893144
"125","4376",96.09,65.64,83.33,79.4,43.75,3.56938892061679
"126","4378",73.44,39.4,90.65,42.27,62.5,8.39495228309122
"127","4382",76.56,59.81,79.63,16.34,60.8695652173913,6.89035120670171
"128","4382",76.56,59.81,79.63,16.34,62.5,7.07491418545264
"129","4383",73.44,84.8,81.48,127.78,71.875,5.05222993395618
"130","4385",90.63,94.19,81.48,118.01,59.2592592592593,7.85821086342399
"131","4386",50,290.33,88.89,80.59,51.7241379310345,7.2736841662887
"132","4389",95.31,60.78,92.59,73.19,84.375,9.32709786774098
"133","4390",89.84,88.59,89.81,167.58,60.7142857142857,8.83842863137085
"134","4394",94.53,85.39,81.48,165.83,66.6666666666667,7.05822150463637
"135","4395",94.53,92.1,76.85,121.34,68.75,11.7125488829519
"136","4399",96.09,37.15,86.11,123.33,51.7241379310345,5.84695782784217
"137","4400",96.88,50.19,64.81,59.5,57.6923076923077,7.97141344851849
"138","4407",97.66,77.53,84.26,86.83,62.0689655172414,9.90470996471906
"139","4408",96.09,52.74,92.59,105.8,59.375,6.1528161831678
"140","4413",98.44,61.71,89.81,130.07,58.0645161290323,7.22919792718368
"141","4415",82.81,58.39,87.04,151.41,59.375,5.21273744668857
"142","4419",94.14,60.51,93.52,74.98,62.0689655172414,8.05517706789541
"143","4419",94.14,60.51,93.52,74.98,68.75,8.92222737728693
"144","4421",99.22,50.35,95.37,29.56,38.0952380952381,6.17802361163399
"145","4423",95.31,78.91,76.85,113.32,68.75,7.41974412307209
"146","4427",75,56.57,81.48,86.37,45.4545454545455,5.75446834466964
"147","4428",89.06,79.95,91.67,58.48,65.625,9.46098555579965
"148","4430",98.44,114.39,93.52,96.73,65.625,10.4685743368479
"149","4431",96.09,90.63,89.81,107.72,62.5,10.8079131216712
"150","4432",98.44,35.87,97.22,36.29,37.5,1.66225246290407
"151","4433",92.97,68.36,90.74,79.7,67.741935483871,7.74079806048249
"152","4434",91.41,57.17,96.3,30.22,NA,NA
"153","4435",94.53,69.73,81.48,87.86,71.875,8.37160957724796
"154","4436",82.81,88.04,73.83,150.11,63.3333333333333,6.07198242657274
"155","4437",97.66,35.83,89.81,72.9,78.125,6.19868480768804
"156","4440",92.97,60.31,91.67,56.72,55.1724137931034,8.8595692518959
"157","4441",92.19,65.17,77.57,129.15,58.6206896551724,10.1320887809379
"158","4443",59.38,74.77,88.89,71.28,68.75,11.6032865110356
"159","4444",98.44,82.1,86.11,57.98,46.875,2.04463966361043
"160","4447",94.53,93.5,89.81,139.12,81.25,8.08476275765995
"161","4448",99.22,85.58,94.44,140.74,70,7.79419094177156
"162","4449",94.53,107.67,86.11,168.36,62.5,5.86394704621259
"163","4450",99.22,88.97,93.52,100.98,62.5,8.04251595635166
"164","4451",98.44,81.04,92.71,120.58,65.625,5.66137142293757
"165","4452",96.09,54.71,100,31.41,56.25,5.77785640100891
"166","4453",96.09,57.08,89.62,154.02,70,8.12275864355456
"167","4454",71.09,59.11,92.59,52.36,62.0689655172414,9.06395628263654
"168","4455",99.22,84.29,87.96,157.33,62.5,9.77165594390288
"169","4456",99.22,59.85,80.56,83.53,75,6.70908298017466
"170","4457",94.44,48.29,79.63,94.95,64.2857142857143,9.93724811836367
"171","4458",97.66,70.17,97.22,46.79,64.5161290322581,9.87164394954603
"172","4459",98.44,71.93,98.15,67.81,68.75,4.50251992272038
"173","4461",81.25,78.18,65.74,185.43,NA,NA
"174","4462",79.69,51.48,75,58.38,7.69230769230769,1.28914156063477
"175","4463",94.53,62.36,89.81,110.97,70,10.0163532297629
"176","4465",94.53,93.79,86.11,110.02,48.3870967741936,6.3386995355001
"177","4466",97.66,61.34,94.44,59.25,68.75,5.68006849880953
"178","4469",73.44,36.93,89.81,29.62,40.9090909090909,9.57136813845161
"179","4475",94.53,46.9,88.89,44.41,46.1538461538462,4.54661703276406
"180","4476",96.88,62.8,95.37,100.21,62.5,4.90875604267869
"181","4478",97.66,52.95,4.63,11.44,59.375,6.4257193957759
"182","4482",56.25,95.77,85.19,91.04,53.8461538461538,7.56562212187908
"183","4483",75.78,126.31,80.09,111.71,28,3.33867066398665
"184","4485",89.06,53.59,91.67,62.12,65.625,7.62857522432509
"185","4488",94.53,37,90.74,86.68,62.5,6.07220581377273
"186","4489",50.39,89.4,71.3,63.28,NA,NA
"187","4490",69.53,88.79,76.85,109.97,67.741935483871,6.51603446849253
"188","4491",92.97,79.37,88.89,23.48,50,5.61091659933567
"189","4492",95.31,45.31,73.15,128.94,44.4444444444444,6.05462024286595
"190","4494",99.22,65.29,92.59,79.61,68.75,3.84620274892243
"191","4498",96.09,71.83,72.22,147.27,65.5172413793103,2.33280658862125
"192","4499",92.19,50.16,99.07,40.87,63.3333333333333,7.78922066797422
"193","4500",96.88,60.25,83.33,110.36,78.125,1.20597589807964
"194","4502",91.41,66.27,19.44,77,40,5.67154655985254
"195","4505",94.53,67.52,87.96,167.22,58.0645161290323,5.66719601309262
