,ID,Gender,Certificate ,Age,FM_Per.ACC,PostScore,PreScore,FM_EFF2,SS_ACC,CB_PerCorrect,CB_EFF,SE_P,PAV,PAp,MG_P,SE_S.x,TV.x,MG_S.x,FM_EFF_Z,SS_EFF_Z,CB_EFF_Z,Avg_EF,Avg-SALES,Avg_PG,SelfEfficacy_P,PerfAvGoals,PerfAppGoals,MasteryGoals_P,Average.of.RTc,Average.of.EFF,Average.of.ACC,Per.Correct,Eff2,FM_ACC_mean,FM_EFF_mean,FM_RTc_mean,Per.ACC,FM_EFF,CB_ACC,CB_RTc_mean,CB_PerCorrect
47,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,50.00,5.92,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,-0.64,-0.63,-0.45,0.39,0.63,0.84,0.25,0.74,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.50,8.45,50.00
48,4279,Male,IGCSE (British),13.46,94.53,14.50,13.00,59.40,84.26,50.00,5.92,0.59,0.53,0.26,0.81,-0.22,-0.56,-0.56,-0.57,-0.70,-0.64,-0.63,-0.45,0.39,0.63,0.84,0.25,0.74,1.29,144.76,0.84,84.26,65.28,0.95,86.19,1.59,94.53,59.40,0.50,8.45,50.00
200,4764,Male,American Diploma,13.95,95.31,14.00,15.00,107.12,75.00,66.67,8.19,-0.17,1.66,1.74,-0.15,-0.16,0.71,0.76,1.59,0.99,0.37,0.99,0.44,1.70,-0.06,1.86,2.52,-0.01,0.55,209.48,0.75,75.00,137.42,0.95,135.11,0.89,95.31,107.12,0.67,8.14,66.67
257,4898,Female,IGCSE (British),14.82,95.70,14.00,12.00,87.43,93.98,67.74,7.05,0.78,0.64,0.28,-0.22,0.91,0.01,-0.22,0.70,0.14,-0.13,0.23,0.23,0.46,0.71,1.01,0.42,-0.16,0.93,104.64,0.94,93.98,100.84,0.96,108.95,1.09,95.70,87.43,0.78,9.61,78.13
258,4898,Female,IGCSE (British),14.82,95.70,14.00,12.00,87.43,93.98,67.74,7.05,0.78,0.64,0.28,-0.22,0.91,0.01,-0.22,0.70,0.14,-0.13,0.23,0.23,0.46,0.71,1.01,0.42,-0.16,0.93,104.64,0.94,93.98,100.84,0.96,108.95,1.09,95.70,87.43,0.68,9.61,67.74
259,4898,Female,IGCSE (British),14.82,95.70,14.00,12.00,87.43,93.98,67.74,7.05,0.78,0.64,0.28,-0.22,0.91,0.01,-0.22,0.70,0.14,-0.13,0.23,0.23,0.46,-0.79,-0.44,-0.24,-1.08,0.93,104.64,0.94,93.98,100.84,0.96,108.95,1.09,95.70,87.43,0.78,9.61,78.13
260,4898,Female,IGCSE (British),14.82,95.70,14.00,12.00,87.43,93.98,67.74,7.05,0.78,0.64,0.28,-0.22,0.91,0.01,-0.22,0.70,0.14,-0.13,0.23,0.23,0.46,-0.79,-0.44,-0.24,-1.08,0.93,104.64,0.94,93.98,100.84,0.96,108.95,1.09,95.70,87.43,0.68,9.61,67.74
261,4898,Female,IGCSE (British),14.82,95.70,14.00,12.00,87.43,93.98,78.13,8.13,0.78,0.64,0.28,-0.22,0.91,0.01,-0.22,0.70,0.14,0.35,0.39,0.23,0.46,0.71,1.01,0.42,-0.16,0.93,104.64,0.94,93.98,100.84,0.96,108.95,1.09,95.70,87.43,0.78,9.61,78.13
262,4898,Female,IGCSE (British),14.82,95.70,14.00,12.00,87.43,93.98,78.13,8.13,0.78,0.64,0.28,-0.22,0.91,0.01,-0.22,0.70,0.14,0.35,0.39,0.23,0.46,0.71,1.01,0.42,-0.16,0.93,104.64,0.94,93.98,100.84,0.96,108.95,1.09,95.70,87.43,0.68,9.61,67.74
263,4898,Female,IGCSE (British),14.82,95.70,14.00,12.00,87.43,93.98,78.13,8.13,0.78,0.64,0.28,-0.22,0.91,0.01,-0.22,0.70,0.14,0.35,0.39,0.23,0.46,-0.79,-0.44,-0.24,-1.08,0.93,104.64,0.94,93.98,100.84,0.96,108.95,1.09,95.70,87.43,0.78,9.61,78.13
