"","ID","PostScore","PreScore","Gain","SelfEfficacy_S","TaskValue","MasteryGoals_S"
"1","4219",6,9.5,-3.5,0.953037689838461,0.638761827002126,0.801924904308406
"2","4224",8,3.5,4.5,0.474840408521373,0.730542383693024,0.405166031713342
"3","4229",10,9,1,0.802374404068098,0.61722915574693,0.720077852034181
"4","4230",14,8.5,5.5,0.686539394710546,-0.0237900973337525,0.116714666538499
"5","4232",12,8,4,-0.348143842107694,-0.184277140063436,-0.582495073826959
"6","4235",8,4,4,0.0361721775187011,0.553029251552611,-0.0842970416074171
"7","4236",7,7,0,-0.263286975128472,-0.328273854713412,-0.351045695804974
"8","4243",12,14,-2,-0.749907916457744,-0.625621943722691,-0.735907246748708
"9","4245",11,15,-4,0.151564931973474,-0.209826443191824,-0.122239911969724
"10","4248",12,11,1,0.745476473927389,1.5909982438411,1.36222950867296
"11","4249",14.5,12.5,2,0.280391990973354,0.432898796121084,-0.112266854848964
"12","4258",7,11.5,-4.5,0.358873931985302,0.687439243211214,0.339289278109703
"13","4260",10,9.5,0.5,0.904591882074446,0.674698515976651,0.595245686221626
"14","4264",14,13.5,0.5,-0.0949746625483898,-0.336176026895321,0.0634109454554498
"15","4268",13,11.5,1.5,-0.580824502939199,0.448940952732117,0.174712011359767
"16","4269",6.5,7.5,-1,0.130733989100461,-0.618854185444935,-0.470305837414155
"17","4271",15,13,2,-0.721835990554469,0.331540610005914,0.270438823193712
"18","4272",9,13,-4,-0.440200671081167,-0.344004848552273,-0.739675219018964
"19","4278",11,11.5,-0.5,-1.38494783870398,-1.02189189721183,-1.26657100231673
"20","4279",14,24,-10,-0.214739978851278,-0.572131714432498,-0.564780056397408
"21","4281",14,24.5,-10.5,-0.442337292864612,-0.386076326912212,-0.663830931466632
"22","4283",5,6,-1,-0.429692537981375,-0.184106620971035,-0.173137859157753
"23","4288",13,12,1,0.363219147716418,0.452269502979852,0.161340004866546
"24","4290",14,14,0,0.430969557599359,-0.40567993141498,-0.344655466496052
"25","4291",14,10,4,-0.3709348550738,-1.50780767946567,-1.15078109448857
"26","4294",8.5,3.5,5,-0.674402290544973,-0.056629145831318,-0.380781309107247
"27","4295",15,12.5,2.5,-1.58811169953988,-1.26625176937557,-1.32947430903644
"28","4297",6,5.5,0.5,-0.413158794114572,-0.13148160886611,-0.41256139314321
"29","4299",8,4,4,0.633583685736248,0.454355905415973,0.470520093331489
"30","4300",5.5,5,0.5,-0.588908815320669,0.441052216398456,0.448812082345692
"31","4301",8,10,-2,0.270483439948366,0.721315257643493,0.88070146174803
"32","4302",13,4,9,0.0345619374546861,0.117000746462703,0.172822423631482
"33","4304",9,9,0,0.572292138010805,0.139270847466489,-0.0299653266487276
"34","4305",6,7,-1,-0.978025117375462,-1.1286292234876,-1.3373098484224
"35","4309",14,9,5,1.07270878735664,1.66868000970944,1.51851968395739
"36","4310",9,7,2,0.249146712606893,0.415042552934576,0.245132066461088
"37","4313",10,9,1,-1.18534497235259,-0.531742932274219,-1.07106707749661
"38","4314",13,7,6,-0.456644063670858,-0.836322367273973,-0.153763586495955
"39","4315",12,12.5,-0.5,0.795456711544383,0.357808400758434,0.681336661989372
"40","4316",7,8,-1,-0.984974687950574,-0.654655535702363,-1.32860917381999
"41","4318",4.5,7,-2.5,-0.892402069032171,0.102859559007718,-0.481577433377521
"42","4319",7.5,8,-0.5,-0.0265168891451449,-0.000901389122077116,0.110506759456352
"43","4321",7,7,0,-0.587934718090992,-0.251741253752719,-0.450265061721293
"44","4322",13,5.5,7.5,-0.130085572575847,1.0161328293899,0.432394380628469
"45","4324",16,15.5,0.5,0.87805997868235,1.62219915894392,1.42605035728981
"46","4326",11,5,6,-0.417822922636501,-0.391752820226023,0.290722387219351
"47","4327",14,12,2,0.108996975580748,0.320022329539057,0.521895081981912
"48","4328",14,14,0,0.648404680842298,0.16688989821779,0.610246971050213
"49","4334",10,10,0,0.448859076084258,-0.316670833920604,-0.295850450791412
"50","4335",3.5,11,-7.5,-0.232808521875931,-0.508982459516202,-0.712585217902826
"51","4339",11,7,4,-0.426108041932134,-0.0556342505645581,-0.149667329201804
"52","4341",15,11,4,0.83041875196488,0.302942965686861,0.0542985291056531
"53","4342",14,14.5,-0.5,0.361999566881415,0.335980216875991,0.149432483587539
"54","4343",10,5,5,0.905860359831737,1.3799408397998,1.32094432347919
"55","4344",14,14,0,0.827407366708281,-0.24699243702347,-0.0145872472748257
"56","4347",14,13,1,0.581218367453176,0.9909258682631,0.785427783135772
"57","4348",8,9,-1,0.299597022173911,-0.32521969816738,0.175342879393686
"58","4350",14,10,4,0.208464943298435,-0.903750578068908,-0.573021472638714
"59","4352",1,14,-13,1.49393723272216,1.78710362032207,1.74608829772361
"60","4353",9,10,-1,0.455367400815457,0.803358777893299,0.74221201571407
"61","4355",13,14.5,-1.5,-0.55430401626199,-1.05036462943196,-0.70464335240724
"62","4356",9,10,-1,-0.269738975003511,-0.0401134454470183,0.0968465945543675
"63","4359",15,15,0,0.236932793914655,-0.336042530954863,0.254342386336733
"64","4360",8,9.5,-1.5,-0.803470515866604,-1.61001790473362,-1.36451284932272
"65","4362",11,10,1,-0.586537445096742,0.0637948476379692,0.0708088151450171
"66","4364",14.5,16,-1.5,-0.37557323443532,-0.613109423277178,-0.983708256852904
"67","4367",14,15,-1,0.025000368524213,0.456937685120366,-0.0178936344480548
"68","4371",8,9.5,-1.5,0.692986873138744,0.696520494918222,0.0773076806451351
"69","4372",9,6,3,-0.45176673213267,-0.33248383611735,-0.78551971206752
"70","4373",15,14,1,-0.264221551558295,0.347831149307773,0.645504692108687
"71","4374",15,13,2,-0.706620578557754,-0.200907709277746,-0.638212846928912
"72","4376",10,9,1,0.526732806157676,0.652776846231595,0.674295974425258
