Row Labels,Average of RTc,Average of EFF,Average of ACC,Per Correct,Eff2
4564,0.77,151.89,0.93,92.59,120.41
4617,0.67,182.33,0.81,80.56,119.38
4822,0.76,121.72,0.91,90.74,118.67
4322,0.69,184.00,0.81,81.48,118.61
4352,0.74,167.16,0.88,87.74,118.57
4725,0.78,126.58,0.93,92.59,118.56
4766,0.68,183.02,0.81,80.56,118.54
4783,0.74,147.52,0.88,87.96,118.37
4263,0.66,231.10,0.78,77.78,118.25
4777,0.67,171.06,0.79,78.70,118.10
4385,0.69,171.28,0.81,81.48,118.01
4957,0.78,123.06,0.92,91.67,117.93
4508,0.78,163.89,0.92,91.67,117.77
4941,0.75,133.56,0.89,88.84,117.74
4768B,0.70,166.41,0.82,82.41,117.47
4803,0.77,186.12,0.90,89.72,117.27
4375,0.79,136.30,0.93,92.59,117.18
4800,0.74,132.35,0.87,87.04,117.01
4912,0.79,137.93,0.93,92.59,117.00
4328,0.71,167.59,0.83,83.33,116.92
4718,0.81,114.48,0.94,94.44,116.48
4267,0.72,187.50,0.84,84.26,116.47
4306,0.67,162.72,0.78,78.22,116.39
4301,0.82,120.95,0.94,94.44,114.91
4836,0.80,119.28,0.92,91.67,114.75
4855,0.61,177.23,0.70,70.37,114.56
4364,0.78,142.63,0.89,88.89,114.27
4665,0.80,137.12,0.92,91.67,114.04
4592,0.81,118.55,0.92,92.45,113.83
4293,0.75,170.93,0.85,85.12,113.82
4423,0.68,169.79,0.77,76.85,113.32
4260,0.80,132.35,0.91,90.63,113.19
4793,0.69,199.78,0.78,77.78,112.57
4895,0.82,129.73,0.92,92.13,112.11
4668,0.81,139.11,0.91,90.65,111.97
4483,0.72,186.16,0.80,80.09,111.71
4282K,0.78,131.81,0.87,87.04,111.63
4262,0.73,171.68,0.81,81.48,111.25
4463,0.81,120.40,0.90,89.81,110.97
4943,0.85,108.85,0.94,94.44,110.86
4828,0.80,151.31,0.89,88.89,110.85
4500,0.76,147.14,0.83,83.33,110.36
4769,0.73,176.27,0.81,80.56,110.20
4899,0.84,155.71,0.93,92.59,110.03
4465,0.78,188.26,0.86,86.11,110.02
4490,0.70,189.30,0.77,76.85,109.97
4305,0.72,190.46,0.80,79.59,109.94
4325,0.86,113.85,0.94,94.44,109.80
4731,0.85,109.15,0.93,92.66,109.63
4773,0.81,143.57,0.88,87.96,108.97
4292,0.64,170.45,0.69,69.44,108.69
4848,0.85,132.98,0.92,91.67,108.11
4546,0.73,219.09,0.79,78.70,107.86
4431,0.83,121.18,0.90,89.81,107.72
4691,0.74,220.43,0.80,79.63,107.51
4711,0.78,183.42,0.84,84.26,107.42
4355,0.90,98.95,0.96,96.30,107.28
4558,0.76,162.97,0.81,81.48,106.55
4954,0.92,116.53,0.97,97.22,106.16
4408,0.88,112.16,0.93,92.59,105.80
4314,0.87,114.74,0.92,91.67,105.79
4265,0.72,259.77,0.76,75.93,105.78
4880,0.90,106.71,0.95,95.37,105.74
4506,0.86,134.84,0.91,90.74,105.55
4288,0.85,137.19,0.90,89.81,105.44
4821,0.29,1239.02,0.31,30.84,105.29
4585,0.90,109.55,0.94,94.44,104.87
4841,0.91,128.69,0.95,95.37,104.68
4770,0.77,214.76,0.80,80.49,104.50
4845,0.88,158.18,0.92,91.67,103.88
4292BM,0.74,161.63,0.76,75.93,103.12
4884,0.78,151.05,0.81,80.56,103.09
4568,0.91,120.38,0.94,93.52,103.08
4904,0.91,104.45,0.94,93.52,102.92
4358F,0.84,130.13,0.86,86.11,102.67
4945,0.86,197.65,0.88,87.96,102.33
4507,0.83,158.47,0.85,85.19,102.28
4754B,0.95,101.87,0.97,97.22,102.22
4509,0.86,166.23,0.87,87.04,101.61
4739,0.74,158.17,0.75,75.00,101.14
4343,0.79,139.78,0.80,79.63,101.13
4450,0.93,126.01,0.94,93.52,100.98
4898,0.93,104.64,0.94,93.98,100.84
4752,0.84,164.05,0.85,84.92,100.81
4720,0.87,123.14,0.88,87.85,100.48
4476,0.95,102.05,0.95,95.37,100.21
46571,0.94,101.27,0.94,93.52,99.62
4595,0.82,169.24,0.81,81.48,99.14
4693,0.96,107.49,0.94,94.44,98.75
4924,0.97,93.46,0.94,94.44,97.81
4240,0.94,103.39,0.92,91.67,97.75
4810,0.96,93.16,0.94,93.52,97.64
4935,0.95,92.63,0.93,92.59,97.51
4296,0.93,127.90,0.91,90.65,97.49
4940,1.00,101.53,0.97,97.22,97.36
4862,0.93,126.11,0.91,90.74,97.24
4271,0.87,125.28,0.84,84.26,97.17
4430,0.97,90.50,0.94,93.52,96.73
4243,0.76,153.79,0.73,73.15,96.69
4859,1.00,91.38,0.96,96.30,96.23
4657,0.84,216.54,0.81,81.13,96.04
4304,0.76,240.26,0.73,73.15,96.00
4283F,0.87,122.29,0.83,83.33,95.91
4842,1.01,86.01,0.96,96.30,95.72
4956,0.98,110.61,0.94,93.52,95.14
4457,0.84,140.73,0.80,79.63,94.95
4247,1.02,99.46,0.96,96.30,94.73
4856,0.97,120.88,0.92,91.67,94.62
4566,0.86,210.39,0.81,81.48,94.55
4723,0.98,106.80,0.93,92.59,94.53
4312,0.90,165.94,0.84,83.96,93.25
4827,0.99,148.60,0.92,91.67,93.02
4514,0.94,144.69,0.87,87.04,92.53
4876,0.73,214.01,0.68,67.59,92.40
4360,0.98,189.54,0.91,90.74,92.37
4919,1.04,94.15,0.96,96.30,92.32
4878,1.02,80.64,0.94,93.52,91.60
4900,0.92,130.51,0.84,84.26,91.36
4482,0.94,169.51,0.85,85.19,91.04
4789,1.04,99.90,0.94,94.44,91.04
4313,0.89,159.53,0.81,80.77,91.00
4806,1.03,113.96,0.94,93.52,90.93
4786,1.09,88.06,0.97,97.22,89.08
4242,1.06,115.61,0.93,93.46,88.38
4318,0.88,128.85,0.78,77.78,88.30
4435,0.93,131.28,0.81,81.48,87.86
4549,0.93,138.84,0.81,81.48,87.49
4675,0.90,144.42,0.79,78.70,87.46
4826,1.06,94.63,0.93,92.59,87.16
4407,0.97,123.30,0.84,84.26,86.83
4488,1.05,162.00,0.91,90.74,86.68
4427,0.94,145.24,0.81,81.48,86.37
4249,1.05,111.66,0.90,90.48,85.94
4315,1.08,120.10,0.93,92.59,85.71
4673,1.09,102.81,0.94,93.52,85.71
4656,1.01,138.41,0.86,86.11,85.06
4710,1.16,83.47,0.98,98.15,84.90
4716,0.97,161.93,0.81,81.48,84.43
4830,1.05,111.10,0.89,88.89,84.40
4644,0.87,157.02,0.73,73.15,83.62
4456,0.96,167.70,0.81,80.56,83.53
4542,0.92,119.98,0.77,76.85,83.51
