"","ID","PreScore"
"396","4756B",15
"397","4755B",6
"398","4710",8
"399","4746",5
"400","4739",8
"401","4754",3
"402","4755",4
"403","4742",7
"404","4750",7
"405","4748",8
"406","4753",3
"407","4743",4
"408","4760",5
"409","4767",12
"410","4778",7
"411","4777",7
"412","4763",7
"413","4768",12
"414","4773",2
"415","4765",5
"416","4764F",7
"417","4770",8
"418","4775",4
"419","4769",8
"420","4771",7
"421","4740",10
"422","4824",2
"423","4816",6
"424","4820",3
"425","4817",6
"426","4824I",10
"427","4815",8
"428","4825",4
"429","4819",4
"430","4822",7
"431","4821",7
"432","4818",5
"433","4781",15
"434","4789",12
"435","4782",7
"436","4786",11
"437","4783",7
"438","4787",2
"439","4785",15
"440","4780",14
"441","4788",8
"442","4784",10
"443","4779",7
"444","4756",5
"445","4795",15
"446","4805",5
"447","4799",4
"448","4796",10
"449","4791",5
"450","4808",14
"451","4806",13
"452","4793",7
"453","4809",14
"454","4807",10
"455","4800",8
"456","4812",13
"457","4810",5
"458","4803",14
"459","4802",14
"460","4813",11
"461","4801",7
"462","4836",12
"463","4832",3
"464","4838",9
"465","4833",5
"466","4828",14
"467","4831",8
"468","4834",6
"469","4835",11
"470","4826",7
"471","4827",7
"472","4829",8
"473","4837",6
"474","4830",13
"475","4846",15
"476","4847",10
"477","4855",9
"478","4850",2
"479","4581",13
"480","4849",6
"481","4845",8
"482","4848",7
"483","4839",8
"484","4857",5
"485","4856",8
"486","4842",11
"487","4852",5
"488","4752",15
"489","4859",7
"490","4871",4
"491","4873",6
"492","4858",4
"493","4874",6
"494","4863",9
"495","4864",3
"496","4860",4
"497","4866",7
"498","4869",15
"499","4862",12
"500","4870",7
"501","4868",9
"502","4861",7
"503","4892",8
"504","48982",5
"505","48994",6
"506","48981",7
"507","4879F",8
"508","4883",8
"509","4919",12
"510","4879",14
"511","4913",9
"512","4897",15
"513","4911",16
"514","4904",16
"515","4895",16
"516","4910",10
"517","4901",14
"518","4884",15
"519","4898",12
"520","4917",15
"521","4924",13
"522","4908",16
"523","4900",14
"524","4922",11
"525","4906",12
"526","48991",12
"527","4885",14
"528","4914",14
"529","4921",7
"530","4903",6
"531","4902",10
"532","4909",16
"533","4912",13
"534","4926",13
"535","4886",8
"536","4907",5
"537","4888",14
"538","4896",16
"539","4927",13
"540","4878",15
"541","4923",10
"542","4880",11
"543","4920",7
"544","4887",11
"545","4929",7
"546","4930",6
"547","4957",12
"548","4934",13
"549","4954",14
"550","4956",12
"551","4948",10
"552","4937",10
"553","4950",13
"554","4952",12
"555","4928",13
"556","4933",6
"557","4943",14
"558","4931",15
"559","4941",13
"560","4946",15
"561","4947",10
"562","4942",9
"563","4945",3
"564","4932",12
"565","4935",13
"566","4940",15
"567","4955",16
"568","4920",0
"569","4936",13
