ID,Gender,Q01_imp,Q02_imp,Q03_imp,Q04_imp,Q05_imp,Q06_imp,Q07_imp,Q08_imp,Q09_imp,Q10_imp,Q11_imp,Q12_imp,Q13_imp,Q14_imp,Q15_imp,Q16_imp,Q17_imp,Q18_imp,Q19_imp,score
4542,Female,3,4,4,5,5,5,4,5,5,4,5,4,4,4,3,4,4,5,5,82
4819,Male,5,5,4,5,5,4,3,3,4,3,5,2,5,5,5,5,4,5,5,82
4807,Male,4,4,5,4,5,4,5,4,4,4,5,4,4,4,4,5,4,4,5,82
4235,Male,5,5,5,5,3,3,2,4,4,5,4,5,4,4,5,5,5,4,4,81
4293,Male,4,4,5,5,4,5,5,4,3,5,4,5,4,3,4,4,4,4,5,81
4480,Female,3,3,3,5,5,4,5,5,5,5,5,4,4,2,4,4,5,5,5,81
4716,Female,5,5,5,5,5,5,5,3,3,3,5,5,3,3,3,3,5,5,5,81
4740,Male,5,5,5,5,5,5,5,3,3,3,5,5,5,5,3,3,3,3,5,81
4879,Male,5,5,5,5,5,1,1,3,3,3,5,5,5,5,5,5,5,5,5,81
4954,Male,5,5,4,5,5,4,3,5,3,4,5,1,5,4,4,4,5,5,5,81
4257,Female,5,4,5,5,4,5,5,5,3,3,5,3,3,2,4,4,5,5,5,80
4319,Female,4,5,5,4,5,5,3,4,5,4,5,2,5,5,4,3,4,4,4,80
4301,Female,5,5,3,5,5,5,4,3,2,2,5,1,5,5,5,5,5,5,5,80
4380,Female,4,5,4,5,5,4,4,3,3,3,4,1,5,5,5,5,5,5,5,80
4326F,Female,5,5,5,5,5,3,3,5,3,2,5,4,5,5,3,3,4,5,5,80
4941,Female,5,5,5,5,5,5,5,3,4,3,5,1,5,3,3,3,5,5,5,80
4324,Male,5,5,5,5,5,5,5,3,2,2,2,3,4,5,4,4,5,5,5,79
4338,Female,4,5,4,5,4,3,4,3,4,4,5,3,5,4,5,4,4,5,4,79
4392,Female,4,5,5,5,5,5,4,4,3,3,4,1,5,4,4,4,5,5,4,79
4394,Female,5,5,5,5,5,3,4,3,2,2,4,3,5,3,5,5,5,5,5,79
4427,Female,5,5,3,5,5,3,3,3,3,1,5,5,5,5,5,5,3,5,5,79
4279,Male,5,5,5,5,5,4,4,2,2,2,5,4,4,4,4,4,5,5,5,79
4769,Male,5,5,4,5,5,5,5,3,4,3,5,1,4,4,4,4,5,4,4,79
