"","ID","PostScore","PreScore","SE_S","TV","MG_S","X.1","X","Gender","SelfEfficacy_P","PerfAvGoals","PerfAppGoals","MasteryGoals_P","Average.of.RTc","Average.of.EFF","Average.of.ACC","Per.Correct","Eff2","FM_ACC_mean","FM_EFF_mean","FM_RTc_mean","Per.ACC","EFF2"
"1","4219",8,8,0.954633848743219,0.669801970703643,0.899296515317599,10,10,"Male",0.873325531293372,1.87634492856979,2.52886611802787,0.813236680679217,6.72,"113.51",0.86,86.11,"12.81",0.98,67.39,2.07,97.66,47.14
"2","4224",9,2,0.446503760370459,0.699867864155713,0.358041742245193,14,14,"Female",0.67256142208307,0.0815648930967104,0.723576512336612,0.481911450742993,3.29,"132.66",0.77,76.85,"23.33",0.97,67.99,1.87,96.88,51.85
"3","4229",9,8,0.778624557468589,0.612361720940821,0.698335483337959,11,11,"Female",0.873325531293372,1.87634492856979,2.52886611802787,0.813236680679217,2.23,"113.95",0.94,94.44,"42.36",0.91,91.95,3.34,90.63,27.13
"4","4230",13,7,0.672764238663077,-0.0179861737964614,0.13711767764309,6,6,"Female",0.335040755637941,1.62769710636205,1.50846717672557,-2.28953483846546,1.57,"141.13",0.78,77.67,"49.59",0.53,1434.88,0.31,53.13,171.58
"5","4232",13,7,-0.351003351282885,-0.194091477972615,-0.588401395770294,3,3,"Male",-0.0408105564902513,0.0188828425344839,0.598636322116305,0.160526932103102,1.13,"151.56",0.79,78.7,"69.68",0.94,86.52,1.78,93.75,52.73
"6","4235",9.5,5,-0.00015291957003809,0.518911074347604,-0.142152056108413,5,5,"Male",0.445339296420164,1.02535583192753,1.36671029149979,0.437380344131178,3.18,"90.39",0.94,93.52,"29.40",0.98,100.15,1.31,98.44,75.16
"7","4236",8,8,-0.272768145269553,-0.337211449354634,-0.389501598672413,12,12,"Male",0.597348684908363,0.589297801636416,2.08873157542945,0.441562334998352,3.05,"138.57",0.86,86.11,"28.21",0.92,99.54,1.79,92.19,51.64
"8","4240",6,2,-1.18649011302832,-2.07690702676355,-1.75755386981057,58,58,"Male",-1.58622438499595,0.908267516161839,0.866246212310985,-2.13746652113771,0.94,"103.39",0.92,91.67,"97.75",0.95,100.73,1.16,94.53,81.82
"9","4241",15,11,1.24132435142007,1.22711383213452,1.00422287750467,23,23,"Male",0.618240146875107,-0.710348899623776,-1.35846540571412,0.725232140664004,1.82,"111.48",0.9,89.81,"49.28",0.94,107.24,1.65,93.75,56.82
"10","4242",5,10,-2.99274816398913,-3.46546886290522,-3.56269960376151,33,33,"Male",-0.58524631199449,1.13109418078945,0.17917033799163,-0.687106633511717,1.06,"115.61",0.93,93.46,"88.38",0.97,66.9,1.82,96.88,53.22
"11","4243",11,13,-0.735393077431667,-0.613879455993296,-0.729150182021214,52,52,"Female",-0.138096436763386,0.288855292936579,-0.370803688751916,-0.0399634336990352,0.76,"153.79",0.73,73.15,"96.69",0.94,89.22,1.53,93.75,61.42
"12","4244",6.5,5,-0.717832968177611,-0.175788838431351,-0.536642658299147,28,28,"Male",-0.143765451074458,1.08998317014471,0.139224876365999,-0.349110390279939,1.67,"63.70",0.95,95.37,"57.21",0.76,121.91,1.29,75.78,58.66
"13","4245",10,16,0.149574581959463,-0.208099282339474,-0.10315610542393,217,217,"Female",0.705227810261911,0.689929294491062,-0.516726343608092,0.585131951317978,1.16,"141.52",0.94,93.52,"80.40",1,73.91,1.76,100,56.87
"14","4247",14,7,0.906920510326873,0.0773868979615422,0.339085215915581,24,24,"Male",0.671180674463288,-1.14287600558217,-1.44476764812895,0.305273501163173,1.02,"99.46",0.96,96.3,"94.73",0.96,77.48,1.61,96.09,59.58
"15","4248",11.5,9,0.738531970419482,1.58763962732862,1.37963914862251,61,61,"Female",0.545688568258832,-0.559327242864812,-0.590393335492382,0.579111616022919,1.33,"312.89",0.97,96.7,"72.65",0.98,92.92,1.13,98.44,87.5
"16","4249",14,11,0.274277074895162,0.410682768265141,-0.157652158990946,57,57,"Female",0.524920356259804,0.22598995298855,0.653257547863895,0.584231441764766,1.05,"111.66",0.9,90.48,"85.94",0.97,123.7,0.94,96.85,102.64
"17","4257",12,7,0.876835613713928,-0.685045912065127,-0.395396716772976,30,30,"Female",0.565641092719501,0.476005574514332,1.30079618022517,0.426526237456758,0.6,"168.40",0.91,90.74,"152.29",0.95,86.74,1.35,94.53,70.28
"18","4258",9,12,0.365499103223046,0.692928007969045,0.389045987519778,56,56,"Male",-0.0029234453961211,1.85539410516016,2.52591493262888,0.26498808369456,2.12,"51.13",1,100,"47.27",0.72,69.37,2.39,71.88,30.07
"19","4259",12,7,0.655811331508427,1.22574644628133,0.645905543205924,32,32,"Female",0.761605567366131,0.654704249213978,1.03206071396704,0.77724072883025,1.06,"135.37",0.79,78.7,"74.09",0.98,65.18,1.83,98.44,53.88
"20","4260",11.5,10,0.90109727664705,0.69718756330254,0.673446739570882,59,59,"Male",0.44336378706682,-0.441008802618964,-0.943600955610196,0.283708024945502,0.8,"132.35",0.91,90.63,"113.19",0.98,88.92,1.27,97.66,76.96
"21","4261",15,15,0.0183781545205334,-0.440167804069749,-0.239748206125126,20,20,"Female",0.323382831737179,-0.258734259722948,0.427697443348282,0.365468960240078,0.51,"224.74",0.85,85.19,"166.75",0.89,136.98,0.92,89.06,96.59
"22","4267",11,8,-0.107034365071947,0.92249273054714,0.582752147064261,18,18,"Female",0.496891124766796,0.574345824827322,1.7395879224317,-0.144952027094098,0.72,"187.50",0.84,84.26,"116.47",0.95,88.91,1.7,94.53,55.74
"23","4268",12,11,-0.577262564718582,0.453791220021207,0.205033204790062,55,55,"Female",-0.451579014716395,0.457602953040415,-0.688190412519296,-0.726379560648385,1.25,"103.25",0.87,87.04,"69.68",0.99,97.71,1.3,99.22,76.51
"24","4269",6.5,6,0.127054578123067,-0.586682928885474,-0.415417086410192,60,60,"Female",-0.00182464231045384,1.47010716410381,0.979038663614712,-0.146841356041488,1.26,"82.75",0.95,95.37,"75.90",0.95,93.4,1.25,95.31,76.05
"25","4271",15,14,-0.702603312246667,0.330127974642185,0.292140298246857,53,53,"Male",0.572990771798311,-0.10486101207496,-0.476293468322293,0.451617091761575,0.87,"125.28",0.84,84.26,"97.17",0.98,97.37,1.22,97.66,80.18
"26","4273",14,15,0.312338427523404,0.557073302853732,0.564221077730742,44,44,"Male",0.80696057114395,-0.0932832277581838,-0.257334689228001,0.481329460069492,1.72,"68.65",0.98,98.15,"57.02",0.94,92.35,2.01,93.75,46.58
"27","4275",12,13,0.532625300219718,0.794560435419203,0.681346188983145,43,43,"Male",0.632286990626449,0.688063251973932,-0.0181971094177334,0.438806310314183,0.32,"292.74",0.06,5.56,"17.34",0.84,152.72,0.75,84.38,112.73
"28","4276",14,16,-0.15038301547653,0.661109736288316,0.330243855244058,36,36,"Male",0.52896135702242,-1.60788164161798,-1.40733194143781,0.573193818505567,0.57,"170.00",0.92,91.67,"159.61",0.94,95.48,1.26,93.65,74.13
"29","4277",12.5,9,-0.0926006478031798,-0.862251046371348,-0.551242284983916,47,47,"Male",-0.0776699322991456,-1.04717793111289,-0.990804935435112,-0.0271815520615427,0.67,"160.46",0.91,90.74,"135.18",0.97,87.44,1.41,96.88,68.56
"30","4278",13,10,-1.3466594583496,-0.998670509081626,-1.20650716890446,83,83,"Male",-0.653783004453549,-1.27787411154245,-1.34255412310995,-1.185420955202,1.19,"95.21",0.94,94.44,"79.30",0.98,134.13,0.82,97.66,119.12
"31","4279",14.5,13,-0.221534406122318,-0.564703687482485,-0.56156571846263,213,213,"Male",0.630566220664646,0.838424581064218,0.250032049442146,0.738492656312629,1.29,"144.76",0.84,84.26,"65.28",0.95,86.19,1.59,94.53,59.4
"32","4279",14.5,13,-0.221534406122318,-0.564703687482485,-0.56156571846263,215,215,"Female",0.842979860496494,1.5639861938063,1.78488140614285,0.636997674909348,1.29,"144.76",0.84,84.26,"65.28",0.95,86.19,1.59,94.53,59.4
"33","4284",7,8,-0.432111357093367,-0.74517059718829,-1.10372473541277,38,38,"Female",-1.08575959754632,-0.51000933173136,-0.456687204738167,-0.965221127858257,1.39,"99.45",0.83,83.33,"59.88",0.95,53.32,2.54,95.31,37.57
"34","4286",12,12,-0.749025233030475,-0.946146867562899,-0.895128628286038,48,48,"Female",-0.969908866220601,-1.90114478360028,-1.58177365788824,-0.581757110212788,1.12,"102.13",0.94,93.52,"83.47",1,50.69,2.35,100,42.52
"35","4287",9,6,0.695242171034526,0.764105450375817,0.197217095861354,42,42,"Female",0.131649119584765,-1.1837357988992,-0.839390179661338,0.622380660452405,1.4,"104.35",0.78,77.78,"55.54",0.98,86.73,1.45,98.44,67.93
"36","4288",14,13,0.36213677567794,0.457304866511678,0.190242720709249,64,64,"Male",0.433009281265438,-0.0637019093571029,-0.840902730500098,0.213286737571282,0.85,"137.19",0.9,89.81,"105.44",0.98,103.81,1.19,98.44,82.45
"37","4289",8.5,4,-0.323312321648426,-0.448003137549519,-1.05223436824946,45,45,"Female",-0.48626881815694,1.0911795188321,1.71682457634292,-0.0660936814895337,3.69,"168.73",0.44,43.52,"11.79",0.93,61.99,2.19,92.97,42.4
"38","4293",7,6,-0.476832472299389,-0.384014299963767,-0.480755062271614,86,86,"Male",0.141525580424087,0.922580555815312,1.64772370573359,0.169329730430644,0.75,"170.93",0.85,85.12,"113.82",0.85,89.75,1.45,85.43,58.81
"39","4295",16,13,-1.53156270314886,-1.22181633403279,-1.27482610764624,278,278,"Male",0.796713477745096,-0.712505030614472,-0.927654884186059,0.444629833768844,0.52,"218.20",0.79,78.7,"152.43",0.88,124.09,1.04,87.5,83.95
"40","4297",6,4,-0.42542549184802,-0.130865043463014,-0.408939806368089,352,352,"Male",-0.406873597555026,0.971315000617392,0.0359314042659007,-0.311961507642692,1.16,"214.18",0.77,76.85,"66.34",0.87,96.97,1.37,86.72,63.48
"41","4299",7,2,0.618850078985677,0.43102005153207,0.431953999719689,80,80,"Male",0.486447376480289,1.26413641647092,1.93889932263384,-0.0627853682648002,1.25,"86.71",0.94,93.52,"75.04",0.97,55.69,2.23,96.88,43.43
"42","4301",7,9,0.25650156057818,0.704108327743681,0.858253399431947,78,78,"Female",0.819421311694355,0.864473229655242,0.50345112503725,0.509585597573583,0.82,"120.95",0.94,94.44,"114.91",1,84.78,1.34,100,74.83
"43","4302",12,2,0.0326745285083719,0.127922448900791,0.204878243535456,82,82,"Female",-0.437282526970837,0.507980485915767,0.593790200598682,0.0663670175611163,1.91,"69.40",0.97,97.22,"50.90",0.99,40.29,5.37,99.22,18.48
"44","4304",10,8,0.568359509041649,0.127433000201114,-0.0302736257276916,67,67,"Male",-0.341169617536764,0.961415853716455,0.995523526559671,0.255458711423843,0.76,"240.26",0.73,73.15,"96.00",0.98,74.8,3.11,97.66,31.42
"45","4305",7,6,-0.956738890392393,-1.09604087057189,-1.2831581870565,262,262,"Female",-1.31503253579444,0.76062488297438,0.758523937622537,-1.3551747988427,0.72,"190.46",0.8,79.59,"109.94",0.98,71.98,1.88,98.05,52.05
"46","4309",15,9,1.05891537622102,1.66967195326176,1.53885793386353,81,81,"Male",0.860060534954206,-0.222376717843605,-0.499337357299385,0.787082539475132,0.71,"148.77",0.88,87.96,"123.33",0.98,106.8,1.13,97.66,86.17
