"ID","Gender","Certificate (2)","Age","FM_Per.ACC","FM_EFF2","SS_ACC","SS_EFF","CB_PerCorrect","CB_EFF","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","PostScore","PreScore","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG"
"4219","Male","IB",13.120218579235,97.66,47.14,86.11,12.81,68.75,10.0582547514863,1.24050976156106,1.7170759919448,1.77492486922034,1.09593808952923,0.954633848743219,0.669801970703643,0.899296515317599,6.0,9.5,-1.1210873805154309,-1.9295095169911702,1.2023183746719392,-0.6160928409448873,0.8412441115881537,1.74600043058257
"4224","Female","IB",12.5775731716446,96.88,51.85,76.85,23.33,55.5555555555556,7.2506010748291,0.66958983839888,0.0542521466330295,0.485808939884523,0.432625736984657,0.446503760370459,0.699867864155713,0.358041742245193,8.0,3.5,-0.9082860429838311,-1.6827078578278154,-0.04396108487750869,-0.8783183285630517,0.5014711222571216,0.27003054325877623
"4229","Female","IB",12.4460663223295,90.63,27.13,94.44,42.36,47.8260869565217,6.50485875317448,1.24050976156106,1.7170759919448,1.77492486922034,1.09593808952923,0.778624557468589,0.612361720940821,0.698335483337959,10.0,9.0,-2.0251542093917188,-1.2362596093602631,-0.374986006263618,-1.2121332750052,0.696440587249123,1.74600043058257
"4230","Female","IB",13.3172991990418,53.13,171.58,77.67,49.59,61.5384615384615,11.8870396906398,0.390381123436307,1.25855440502761,0.761675205872058,-1.77557937962167,0.672764238663077,-0.0179861737964614,0.13711767764309,14.0,8.5,4.5012052824213615,-1.0666421192698585,2.0140912526979737,1.8162181386164922,0.2639652475032352,1.0101148054498341
"4232","Male","IB",13.4762033086309,93.75,52.73,78.7,69.68,54.8387096774194,10.0235258046828,-0.162785889013803,-0.00193245981377124,0.417496516698118,-0.0174488937577568,-0.351003351282885,-0.194091477972615,-0.588401395770294,12.0,8.0,-0.8685269820437447,-0.5953260230158847,1.1869026653154633,-0.09231677991472202,-0.377832075008598,0.2077820284421734
"4235","Male","IB",12.9008608428775,98.44,75.16,93.52,29.4,65.3846153846154,8.97610864259496,0.335480864424464,0.551000086214245,0.724433244580487,0.354239385830545,-0.000152919570038099,0.518911074347604,-0.142152056108413,8.0,4.0,0.14487726441778098,-1.54030423889991,0.7219683660667643,-0.22448620280512158,0.12553536622305095,0.637716665397366
"4236","Male","IB",12.3364772812336,92.19,51.64,86.11,28.21,46.6666666666667,11.3753757936646,0.514987166327833,0.405192160427595,1.19592646802299,0.300417603925463,-0.272768145269553,-0.337211449354634,-0.389501598672413,7.0,7.0,-0.91777400070817,-1.5682219170752325,1.7869705752815075,-0.23300844750063165,-0.33316039776553336,0.8005593142252925
"4240","Male","IGCSE (British)",14.292349726776,94.53,81.82,91.67,97.75,62.0689655172414,7.77779511511257,-1.31666029500038,0.65857446875566,0.572943341832966,-1.71439748890997,-1.18649011302832,-2.07690702676355,-1.75755386981057,6.5,3.0,0.4457810665325272,0.06320273864907502,0.1900532129202298,0.23301233936727733,-1.6736503365341466,0.615758905294313
"4241","Male","IGCSE (British)",12.7800658731941,93.75,56.82,89.81,49.28,57.6923076923077,10.0308862131933,0.576013333204498,-0.556158934401216,-0.975604411425122,0.768385247605594,1.24132435142007,1.22711383213452,1.00422287750467,14.0,12.0,-0.6837377101744784,-1.0739147917356988,1.1901698510146095,-0.1891608836318559,1.1575536870197534,-0.765881672913169
"4242","Male","IGCSE (British)",12.4512987499064,96.88,53.22,93.46,88.38,42.1052631578947,3.06694077449839,-0.612658125199969,0.821897292913676,0.185171296458103,-0.679219021983132,-2.99274816398913,-3.46546886290522,-3.56269960376151,3.0,9.5,-0.8463884140202872,-0.15661965168938868,-1.901031257521612,-0.9680131077437626,-3.3403055435519535,0.5035342946858895
"4243","Female","IGCSE (British)",13.423856576091,93.75,61.42,73.15,96.69,65.5172413793103,9.30392228621855,-0.260228376000509,0.206043902222,-0.119391770587057,-0.160427654832128,-0.735393077431667,-0.613879455993296,-0.729150182021214,12.0,14.0,-0.4759062552603892,0.03833489086265326,0.8674804048216863,0.14330301347465013,-0.6928075718153923,0.043326065817471504
"4244","Male","IGCSE (British)",12.9581480649749,75.78,58.66,95.37,57.21,48.2758620689655,6.04014539492843,-0.298977332074948,0.75947971112071,0.122624189687549,-0.456117964645478,-0.717832968177611,-0.175788838431351,-0.536642658299147,7.0,6.0,-0.6006051282088428,-0.8878751380127515,-0.5812659751128558,-0.68991541377815,-0.47675482163603633,0.4410519504041295
"4245","Female","IGCSE (British)",13.6072984504828,100.0,56.87,93.52,80.4,71.875,6.37231471380718,0.732107228194499,0.493655476139211,-0.174696921741065,0.544896459547589,0.149574581959463,-0.208099282339474,-0.10315610542393,11.0,15.0,-0.6814786726210644,-0.34383231710037454,-0.43382051107542624,-0.4863771669322884,-0.053893601934647005,0.159479277199073
"4247","Male","IGCSE (British)",13.0601092896175,96.09,59.58,96.3,94.73,62.5,6.1161181731889,0.637550147857094,-0.803047139560904,-1.09036653026755,0.121387817795499,0.906920510326873,0.0773868979615422,0.339085215915581,13.0,8.5,-0.559038837226025,-0.007647167308465984,-0.5475426872949444,-0.3714095639431451,0.4411308747346654,-0.946706834914227
"4248","Female","IGCSE (British)",13.6320757541732,98.44,87.5,96.7,72.65,75.0,7.11825397139253,0.448773460727284,-0.313846249486999,-0.197276517832851,0.498671903726627,0.738531970419482,1.58763962732862,1.37963914862251,12.0,11.0,0.7024077326003592,-0.5256491287463824,-0.10270817249560935,0.024683477119455816,1.2352702487902039,-0.255561383659925
"4249","Female","IGCSE (British)",13.9416647952691,96.85,102.64,90.48,85.94,51.8518518518518,8.82005644836127,0.421373963305585,0.136204792214545,0.423594488807277,0.505549254460829,0.274277074895162,0.410682768265141,-0.157652158990946,14.5,12.5,1.3864443037741219,-0.21386262206568013,0.6526989095422602,0.6084268637502339,0.17576922805645234,0.279899640510911
"4257","Female","IGCSE (British)",12.4869151882626,94.53,70.28,90.74,152.29,67.741935483871,7.16163817357765,0.455163040304896,0.326766785868963,0.79542904567527,0.275222166376903,0.876835613713928,-0.685045912065127,-0.395396716772976,10.0,6.0,-0.07560480079542635,1.3427238879617542,-0.0834505124423831,0.3945561915746483,-0.06786900504139165,0.5610979157721165
"4258","Male","IGCSE (British)",14.478651096639,71.88,30.07,100.0,47.27,53.3333333333333,6.37120216620874,-0.0680813295939825,1.65817502311461,1.75293471279289,0.21206071404827,0.365499103223046,0.692928007969045,0.389045987519778,7.0,11.5,-1.8923228012509745,-1.1210698615948569,-0.4343143558936935,-1.149235672913175,0.48249103290395634,1.70555486795375
"4259","Female","IGCSE (British)",12.5937645033311,98.44,53.88,78.7,74.09,43.4782608695652,3.61607678811381,0.857109168502157,0.408213599157126,0.631710862777093,0.92323738509392,0.655811331508427,1.22574644628133,0.645905543205924,12.0,8.0,-0.8165691183152222,-0.4918663921308661,-1.6572772147927433,-0.9885709084129438,0.842487773665227,0.5199622309671095
"4260","Male","IGCSE (British)",15.3306010928962,97.66,76.96,90.63,113.19,63.3333333333333,12.5602351999722,0.275648480634205,-0.31141285943628,-0.45767270941373,0.0569345536055061,0.90109727664705,0.69718756330254,0.673446739570882,10.0,9.5,0.22620261634068528,0.42542874791544405,2.31291362616848,0.9881816634748698,0.7572438598401573,-0.384542784425005
