"","SelfEfficacy_P","PerfAvGoals","PerfAppGoals","MasteryGoals_P","SelfEfficacy_S","TaskValue","MasteryGoals_S"
"SelfEfficacy_P",1,0.115535657988271,0.093748531665494,0.766004774546978,0.549142183710697,0.428646678754212,0.518415699100177
"PerfAvGoals",0.115535657988271,1,0.860455819084099,0.101384444587561,0.113322389593672,0.110427265338801,0.100255123579973
"PerfAppGoals",0.093748531665494,0.860455819084099,1,0.106118141367179,0.130478965821893,0.143484895944134,0.130545586464191
"MasteryGoals_P",0.766004774546978,0.101384444587561,0.106118141367179,1,0.473953943284835,0.548206623609317,0.569364641290666
"SelfEfficacy_S",0.549142183710697,0.113322389593672,0.130478965821893,0.473953943284835,1,0.685398262354812,0.83987495165396
"TaskValue",0.428646678754212,0.110427265338801,0.143484895944134,0.548206623609317,0.685398262354812,1,0.903489571752799
"MasteryGoals_S",0.518415699100177,0.100255123579973,0.130545586464191,0.569364641290666,0.83987495165396,0.903489571752799,1
