"","ID","Picture","Color","Gender","SelfEfficacy","TaskValue","MasteryGoals"
"1","2919","82919","189#919","Female",-3.17426822392695,-3.22814809309846,-3.93778798565742
"2","4022","bear","lemon ","Male",-0.360199720521895,0.620563274776561,0.181154250746379
"3","4219","Bat","Blue","Male",0.719313102624404,0.511019038185562,0.628202566911093
"4","4224","Butterfly ","Blue","Female",0.448026381995024,0.624350966925085,0.497872711326594
"5","4229","Chick","Blue","Female",0.642515769069211,0.539790296918738,0.606318137922553
"6","4230","Cobra","Blue","Female",0.560639073274806,0.0799523591187,0.233125506358509
"7","4232","crocodile ","Blue","Male",-0.213049386756123,-0.0757040284434782,-0.361875083163576
"8","4235","dolphin","blue","Male",0.143871937705526,0.532769119309721,0.169174739427979
"9","4236","Donkey","Blue ","Male",-0.14443362702302,-0.151504428181791,-0.144418464082376
"10","4243","goat","blue","Female",-0.544876471592383,-0.434701174735702,-0.51712116159297
"11","4245","Grasshopper","blue","Female",0.160902655178256,-0.105600799857993,0.0284363866404213
"12","4248","Butterfly","Blue","Female",0.541569634816311,0.92400567208027,0.760560664607706
"13","4249","Kangaroo ","Blue ","Female",0.236015799955792,0.389374646666341,0.0724958745822506
"14","4258","Rabbit","Blue","Male",0.35105027645847,0.599858314946788,0.395975064365868
"15","4260","Rocket ","Blue","Male",0.695191967999326,0.547286083032919,0.534652682737146
"16","4264","sheep","blue","Male",-0.00246116811111229,-0.181717041303462,0.148992647079889
"17","4268","submarine","blue","Female",-0.372169748225783,0.434620662270859,0.232448274910637
"18","4269","Tiger","Blue","Female",0.171959696979981,-0.459847873424734,-0.271898771578771
"19","4271","train","blue","Male",-0.592849698855903,0.382612068335463,0.276473145994084
"20","4272","cow","blue","Male",-0.312243212057277,-0.191401000378804,-0.489485875957409
"21","4274","zebra","blue","Male",0.0438186207256274,0.336368880485619,0.281369491610105
"22","4278","Bat","Dark yellow","Male",-1.25397670591083,-0.836325707729351,-1.16128785643271
"23","4279","bear","dark yellow","Male",-0.133342766589833,-0.386093801510607,-0.343856571719512
"24","4281","Buffalo","Dark yellow","Male",-0.311675255132291,-0.233786878837511,-0.426988016559588
"25","4282","Bus","Dark yellow ","Male",0.0187151364081417,-0.72670851411448,-0.401542322065543
"26","4283","Butterfly ","Dark yellow","Female",-0.278522677389712,-0.0322935611441561,-0.0251477114369898
"27","4288","cobra","darkyellow","Male",0.363275592375833,0.441566038752331,0.278133840814477
"28","4290","Crocodile","Dark yellow","Male",0.39445240866656,-0.246037706385231,-0.129612359657454
"29","4291","Deer ","Dark yellow ","Male",-0.233695949521296,-1.38001675272252,-1.00234543379084
"30","4294","Donkey ","Yellow","Male",-0.474583147184411,0.0551492629735979,-0.191985029880124
"31","4295","duck","purple","Female",-1.47445924355692,-1.15877662932289,-1.19643102204749
"32","4297","Elephant","Gold","Male",-0.286232916786575,-0.0137950673092084,-0.199730051005616
"33","4299","frog","gold","Male",0.52281937482108,0.43884904178036,0.476727114401094
"34","4300","Giraffe ","Gold","Female",-0.447754322672627,0.441428135485245,0.393334424002944
